Time, Species, ClimateRegion, NumberSitesChecked, AvgTempMult, AvgMinJanTempMult, AvgSoilMoistureMult, AvgProbEst
10,CaryOvat,eco4,161,0.553,1.000,0.955,0.546
10,CaryOvat,eco3,4544,0.599,1.000,0.945,0.592
10,CaryOvat,eco2,3169,0.703,1.000,0.946,0.697
10,CaryOvat,eco1,971,0.000,1.000,0.849,0.000
10,CaryAlba,eco4,176,0.582,1.000,0.970,0.582
10,CaryAlba,eco3,4516,0.629,1.000,0.945,0.622
10,CaryAlba,eco2,3194,0.735,1.000,0.948,0.729
10,CaryAlba,eco1,969,0.000,1.000,0.855,0.000
10,CornFlor,eco4,4991,0.800,1.000,0.975,0.795
10,CornFlor,eco3,21493,0.828,1.000,0.960,0.816
10,CornFlor,eco2,12991,0.890,1.000,0.962,0.876
10,CornFlor,eco1,4911,0.318,1.000,0.868,0.290
10,FraxPenn,eco4,162,0.705,1.000,0.944,0.697
10,FraxPenn,eco3,4532,0.733,1.000,0.905,0.715
10,FraxPenn,eco2,3214,0.799,1.000,0.899,0.766
10,FraxPenn,eco1,914,0.267,1.000,0.828,0.230
10,FraxAmer,eco4,4917,0.741,1.000,0.978,0.737
10,FraxAmer,eco3,21737,0.770,1.000,0.965,0.760
10,FraxAmer,eco2,12976,0.835,1.000,0.966,0.824
10,FraxAmer,eco1,4944,0.286,1.000,0.884,0.266
10,FaguGran,eco4,4891,0.536,1.000,0.976,0.533
10,FaguGran,eco3,21398,0.579,1.000,0.964,0.572
10,FaguGran,eco2,12952,0.677,1.000,0.964,0.668
10,FaguGran,eco1,4823,0.000,1.000,0.887,0.000
10,JuglNigr,eco4,36,0.000,1.000,0.990,0.000
10,JuglNigr,eco3,1198,0.000,1.000,0.955,0.000
10,JuglNigr,eco2,644,0.000,1.000,0.957,0.000
10,JuglNigr,eco1,317,0.000,1.000,0.860,0.000
10,HaleDipt,eco4,4950,0.971,1.000,0.979,0.958
10,HaleDipt,eco3,21521,0.979,1.000,0.967,0.954
10,HaleDipt,eco2,12953,0.994,1.000,0.967,0.963
10,HaleDipt,eco1,4852,0.773,1.000,0.891,0.710
10,IlexOpac,eco4,4961,0.971,1.000,0.977,0.956
10,IlexOpac,eco3,21459,0.979,1.000,0.967,0.954
10,IlexOpac,eco2,13060,0.994,1.000,0.966,0.963
10,IlexOpac,eco1,4848,0.773,1.000,0.888,0.708
10,LiriTuli,eco4,68,0.941,1.000,0.987,0.937
10,LiriTuli,eco3,2558,0.961,1.000,0.957,0.935
10,LiriTuli,eco2,1592,0.993,1.000,0.959,0.955
10,LiriTuli,eco1,533,0.425,1.000,0.868,0.390
10,LiquStyr,eco4,75,0.896,1.000,0.973,0.882
10,LiquStyr,eco3,2506,0.920,1.000,0.958,0.905
10,LiquStyr,eco2,1593,0.967,1.000,0.956,0.938
10,LiquStyr,eco1,535,0.382,1.000,0.846,0.343
10,MagnAcum,eco4,171,0.849,1.000,0.951,0.833
10,MagnAcum,eco3,4459,0.876,1.000,0.932,0.852
10,MagnAcum,eco2,3207,0.932,1.000,0.932,0.892
10,MagnAcum,eco1,974,0.348,1.000,0.838,0.302
10,MagnMacr,eco4,151,0.849,1.000,0.960,0.842
10,MagnMacr,eco3,4483,0.876,1.000,0.932,0.851
10,MagnMacr,eco2,3237,0.932,1.000,0.934,0.893
10,MagnMacr,eco1,944,0.348,1.000,0.850,0.305
10,NyssSylv,eco4,4953,0.971,1.000,0.977,0.956
10,NyssSylv,eco3,21505,0.979,1.000,0.966,0.953
10,NyssSylv,eco2,12872,0.994,1.000,0.967,0.963
10,NyssSylv,eco1,4937,0.773,1.000,0.891,0.710
10,OxydArbo,eco4,4865,0.971,1.000,0.976,0.955
