Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 2718.7, 10263.4, 0, 3.5, 0.9, 
10, -104.6, 2648.7, 10533.1, 325.1, 3.87, 790.6, 
20, -174.3, 2957, 11088.9, 489.6, 3.53, 882.3, 
30, -192, 3240.1, 11146.6, 529.2, 2.76, 916.3, 
40, -15.7, 3497, 10967.6, 357.4, 3.67, 963.9, 
50, -18.6, 3724.1, 10892.9, 384.2, 3.02, 1017, 
60, -156.2, 3896.3, 10779.9, 543.7, 2.7, 994.3, 
70, 49.6, 4047.3, 10415.3, 314.3, 3.24, 1048.7, 
80, -141.6, 4167, 10206.9, 565.1, 2.74, 1054.7, 
90, -69.4, 4262.4, 10029.8, 444.2, 3.02, 1079, 
100, 6.3, 4306.4, 8925.9, 345.6, 3.49, 1043.4, 
