EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,MaximumSpreadArea,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanSeverity,TotalBiomassMortality,NumberCellsSeverity1,NumberCellsSeverity2,NumberCellsSeverity3,PercentsCellsIntensityFactor1,PercentsCellsIntensityFactor2,PercentsCellsIntensityFactor3,
1, 1, 614, 710, 10.0997449369019, 63, 211, Accidental, 1, 4, 26, 20.2129956, 19.9634990253174, 315.858106, 10, 10.1, 0.0564070458612249, 1, 14061, 4, 0, 0, 0, 0, 0, 
2, 1, 442, 277, 10.0997449369019, 63, 211, Accidental, 1, 3, 28, 20.2129956, 21.0117747939813, 315.858106, 10, 10.1, 0.0548364419303865, 1, 7016, 3, 0, 0, 0, 0, 0, 
3, 1, 661, 710, 10.0997449369019, 63, 211, Accidental, 1, 1, 4, 20.2129956, 15.2212571090625, 315.858106, NaN, 10.1, NaN, 1, 736, 1, 0, 0, 0, 0, 0, 
4, 1, 183, 1126, 10.0997449369019, 63, 211, Accidental, 1, 1, 3, 20.2129956, 19.3843752800056, 315.858106, NaN, 10.1, NaN, 1, 100, 1, 0, 0, 0, 0, 0, 
5, 1, 563, 774, 10.0997449369019, 63, 211, Accidental, 1, 1, 4, 20.2129956, 22.2202483852778, 315.858106, NaN, 10.1, NaN, 1, 1905, 1, 0, 0, 0, 0, 0, 
6, 1, 596, 855, 10.0997449369019, 63, 211, Accidental, 1, 5, 33, 20.2129956, 20.4348495018162, 315.858106, 10, 10.1, 0.0552557726281642, 1, 15462, 5, 0, 0, 0, 0, 0, 
7, 1, 130, 1175, 12.455359039277, 68, 220, Accidental, 1, 1, 1, 32.625198, 33.545295277781, 12.923846, NaN, 12.46, NaN, 1, 639, 1, 0, 0, 0, 0, 0, 
8, 1, 732, 280, 12.455359039277, 68, 220, Accidental, 1, 1, 4, 32.625198, 33.8052847665353, 12.923846, NaN, 12.46, NaN, 1, 712, 1, 0, 0, 0, 0, 0, 
9, 1, 190, 978, 12.455359039277, 68, 220, Accidental, 1, 1, 0, 32.625198, 32.8234365874848, 12.923846, NaN, 12.46, NaN, 1, 0, 1, 0, 0, 0, 0, 0, 
10, 1, 101, 1069, 12.455359039277, 68, 220, Accidental, 1, 1, 7, 32.625198, 31.303134133285, 12.923846, NaN, 12.46, NaN, 1, 445, 1, 0, 0, 0, 0, 0, 
11, 1, 617, 126, 12.455359039277, 68, 220, Accidental, 1, 1, 2, 32.625198, 34.6806476763197, 12.923846, NaN, 12.46, NaN, 1, 875, 1, 0, 0, 0, 0, 0, 
12, 1, 608, 505, 12.455359039277, 68, 220, Lightning, 1, 2, 2, 32.625198, 32.6723970370114, 12.923846, 10, 12.46, 0.0454555451090529, 1, 147, 2, 0, 0, 0, 0, 0, 
13, 1, 348, 929, 10.501506288433, 69, 212, Accidental, 1, 1, 10, 30.0742596, 29.8092631635427, 123.94278, NaN, 10.5, NaN, 1, 2071, 1, 0, 0, 0, 0, 0, 
14, 1, 958, 53, 10.501506288433, 69, 212, Accidental, 1, 2, 17, 30.0742596, 30.4318159821118, 123.94278, 10, 10.5, 0.0453387071365494, 1, 5133, 2, 0, 0, 0, 0, 0, 
15, 1, 483, 800, 10.501506288433, 69, 212, Accidental, 1, 1, 3, 30.0742596, 30.7484087579415, 123.94278, NaN, 10.5, NaN, 1, 100, 1, 0, 0, 0, 0, 0, 
16, 1, 719, 456, 10.501506288433, 69, 212, Accidental, 1, 1, 4, 30.0742596, 27.0485280691986, 123.94278, NaN, 10.5, NaN, 1, 114, 1, 0, 0, 0, 0, 0, 
17, 1, 413, 297, 10.501506288433, 69, 212, Accidental, 1, 1, 6, 30.0742596, 33.734937057882, 123.94278, NaN, 10.5, NaN, 1, 1567, 1, 0, 0, 0, 0, 0, 
18, 1, 954, 76, 10.501506288433, 69, 212, Accidental, 1, 1, 4, 30.0742596, 31.098137591006, 123.94278, NaN, 10.5, NaN, 1, 1000, 1, 0, 0, 0, 0, 0, 
19, 1, 796, 58, 10.3462925495599, 85, 212, Accidental, 1, 1, 7, 27.3795156, 27.0450504536302, 115.486564, NaN, 10.35, NaN, 1, 1728, 1, 0, 0, 0, 0, 0, 
20, 1, 447, 369, 10.3462925495599, 85, 212, Accidental, 1, 2, 24, 27.3795156, 25.3415059448688, 115.486564, 10, 10.35, 0.0524617029956439, 1, 6422, 2, 0, 0, 0, 0, 0, 
21, 1, 770, 230, 10.3462925495599, 85, 212, Accidental, 1, 2, 15, 27.3795156, 30.7855710872545, 115.486564, 10, 10.35, 0.0437874046872401, 1, 5713, 2, 0, 0, 0, 0, 0, 
22, 1, 705, 276, 10.3462925495599, 85, 212, Accidental, 1, 2, 18, 27.3795156, 27.2140219989966, 115.486564, 10, 10.35, 0.0489004428146228, 1, 4592, 2, 0, 0, 0, 0, 0, 
23, 1, 49, 1246, 10.3462925495599, 85, 212, Accidental, 1, 1, 3, 27.3795156, 30.7818514319385, 115.486564, NaN, 10.35, NaN, 1, 2441, 1, 0, 0, 0, 0, 0, 
24, 1, 781, 90, 10.3462925495599, 85, 212, Accidental, 1, 1, 7, 27.3795156, 28.1103013757853, 115.486564, NaN, 10.35, NaN, 1, 2034, 1, 0, 0, 0, 0, 0, 
25, 1, 272, 705, 10.3462925495599, 85, 212, Lightning, 1, 1, 2, 27.3795156, 32.1133814817163, 115.486564, NaN, 10.35, NaN, 1, 2896, 1, 0, 0, 0, 0, 0, 
26, 1, 957, 36, 10.9129653570181, 91, 214, Accidental, 1, 1, 6, 24.5921976, 24.4671872560527, 134.412131, NaN, 10.91, NaN, 1, 1905, 1, 0, 0, 0, 0, 0, 
27, 1, 616, 663, 10.9129653570181, 91, 214, Accidental, 1, 1, 3, 24.5921976, 24.2504568929329, 134.412131, NaN, 10.91, NaN, 1, 264, 1, 0, 0, 0, 0, 0, 
28, 1, 529, 541, 10.9129653570181, 91, 214, Accidental, 1, 1, 7, 24.5921976, 22.7097031483496, 134.412131, NaN, 10.91, NaN, 1, 1612, 1, 0, 0, 0, 0, 0, 
29, 1, 66, 979, 10.9129653570181, 91, 214, Accidental, 1, 1, 3, 24.5921976, 26.4678089551973, 134.412131, NaN, 10.91, NaN, 1, 299, 1, 0, 0, 0, 0, 0, 
30, 1, 499, 834, 10.9129653570181, 91, 214, Accidental, 1, 1, 7, 24.5921976, 25.7837369188371, 134.412131, NaN, 10.91, NaN, 1, 2410, 1, 0, 0, 0, 0, 0, 
31, 1, 500, 395, 10.9129653570181, 91, 214, Lightning, 1, 1, 6, 24.5921976, 22.8508778204234, 134.412131, NaN, 10.91, NaN, 1, 744, 1, 0, 0, 0, 0, 0, 
32, 1, 729, 430, 12.2060510675683, 93, 219, Accidental, 1, 1, 8, 26.5196844, 22.419818853889, 84.110681, NaN, 12.21, NaN, 1, 10251, 1, 0, 0, 0, 0, 0, 
33, 1, 194, 1129, 12.2060510675683, 93, 219, Accidental, 1, 1, 10, 26.5196844, 21.9515620424087, 84.110681, NaN, 12.21, NaN, 1, 3221, 1, 0, 0, 0, 0, 0, 
34, 1, 383, 346, 12.2060510675683, 93, 219, Accidental, 1, 1, 6, 26.5196844, 26.7527789568346, 84.110681, NaN, 12.21, NaN, 1, 1995, 1, 0, 0, 0, 0, 0, 
35, 1, 676, 391, 12.2060510675683, 93, 219, Accidental, 1, 1, 5, 26.5196844, 25.8621644959012, 84.110681, NaN, 12.21, NaN, 1, 640, 1, 0, 0, 0, 0, 0, 
36, 1, 645, 98, 12.2060510675683, 93, 219, Accidental, 1, 1, 2, 26.5196844, 25.4883218673407, 84.110681, NaN, 12.21, NaN, 1, 891, 1, 0, 0, 0, 0, 0, 
37, 1, 422, 923, 10.8533257652628, 101, 214, Accidental, 1, 3, 21, 14.1629976, 14.9924688288888, 106.239641, 10, 10.85, 0.0650427165637356, 1, 4503, 3, 0, 0, 0, 0, 0, 
38, 1, 332, 732, 10.8533257652628, 101, 214, Accidental, 1, 1, 5, 14.1629976, 18.4176165280388, 106.239641, NaN, 10.85, NaN, 1, 3622, 1, 0, 0, 0, 0, 0, 
39, 1, 495, 773, 10.8533257652628, 101, 214, Accidental, 1, 2, 20, 14.1629976, 11.3231435686928, 106.239641, 10, 10.85, 0.0737486824232506, 1, 8411, 2, 0, 0, 0, 0, 0, 
40, 1, 690, 521, 10.8533257652628, 101, 214, Accidental, 1, 2, 11, 14.1629976, 16.7150780134415, 106.239641, 10, 10.85, 0.0612848941274353, 1, 8207, 2, 0, 0, 0, 0, 0, 
41, 1, 439, 752, 10.8533257652628, 101, 214, Accidental, 1, 2, 10, 14.1629976, 15.2672309813528, 106.239641, 10, 10.85, 0.0596780176618329, 1, 1525, 2, 0, 0, 0, 0, 0, 
42, 1, 54, 1183, 10.8533257652628, 101, 214, Accidental, 1, 2, 12, 14.1629976, 13.8923456599686, 106.239641, 10, 10.85, 0.0651133101886958, 1, 1725, 2, 0, 0, 0, 0, 0, 
43, 1, 575, 907, 10.8533257652628, 101, 214, Lightning, 1, 1, 2, 14.1629976, 17.2733720636547, 106.239641, NaN, 10.85, NaN, 1, 386, 1, 0, 0, 0, 0, 0, 
44, 1, 157, 1228, 11.7105201641117, 102, 217, Accidental, 1, 2, 6, 15.5825712, 16.8491000552774, 257.419747, 10, 11.71, 0.0621786181517126, 1, 377, 2, 0, 0, 0, 0, 0, 
45, 1, 391, 868, 11.7105201641117, 102, 217, Accidental, 1, 3, 21, 15.5825712, 20.1706897680253, 257.419747, 5, 11.71, 0.0602888945688837, 1, 7134, 3, 0, 0, 0, 0, 0, 
46, 1, 12, 1023, 11.7105201641117, 102, 217, Accidental, 1, 2, 9, 15.5825712, 12.4057406152943, 257.419747, 10, 11.71, 0.0700393569787861, 1, 2485, 2, 0, 0, 0, 0, 0, 
47, 1, 403, 569, 11.7105201641117, 102, 217, Accidental, 1, 2, 11, 15.5825712, 11.4876167268238, 257.419747, 10, 11.71, 0.0672178531292751, 1, 17723, 2, 0, 0, 0, 0, 0, 
48, 1, 663, 402, 11.7105201641117, 102, 217, Accidental, 1, 2, 11, 15.5825712, 15.2784499048258, 257.419747, 10, 11.71, 0.0654525596068714, 1, 3880, 2, 0, 0, 0, 0, 0, 
49, 1, 89, 1091, 11.7105201641117, 102, 217, Lightning, 1, 1, 2, 15.5825712, 16.6259435202922, 257.419747, NaN, 11.71, NaN, 1, 1061, 1, 0, 0, 0, 0, 0, 
50, 1, 332, 880, 10.6772262859134, 103, 213, Accidental, 1, 2, 8, 12.6525024, 16.5147706862948, 17.655915, 10, 10.68, 0.06085169317365, 1, 5165, 2, 0, 0, 0, 0, 0, 
51, 1, 304, 985, 10.6772262859134, 103, 213, Accidental, 1, 2, 11, 12.6525024, 13.9806931458288, 17.655915, 10, 10.68, 0.065520131746682, 1, 7310, 2, 0, 0, 0, 0, 0, 
52, 1, 173, 1160, 10.6772262859134, 103, 213, Accidental, 1, 4, 13, 12.6525024, 10.2818959627579, 17.655915, 10, 10.68, 0.0709026804300723, 1, 2507, 4, 0, 0, 0, 0, 0, 
53, 1, 964, 172, 10.6772262859134, 103, 213, Accidental, 1, 1, 8, 12.6525024, 13.7180663294406, 17.655915, NaN, 10.68, NaN, 1, 2789, 1, 0, 0, 0, 0, 0, 
54, 1, 805, 454, 10.6772262859134, 103, 213, Accidental, 1, 2, 21, 12.6525024, 13.8083375350048, 17.655915, 10, 10.68, 0.0618599920437728, 1, 3618, 2, 0, 0, 0, 0, 0, 
55, 1, 510, 453, 10.6772262859134, 103, 213, Lightning, 1, 1, 14, 12.6525024, 12.949865329589, 17.655915, NaN, 10.68, NaN, 1, 5561, 1, 0, 0, 0, 0, 0, 
56, 1, 693, 705, 10.0599475120336, 104, 211, Accidental, 1, 1, 8, 10.448118, 9.30625566746962, 60.779346, NaN, 10.06, NaN, 1, 3108, 1, 0, 0, 0, 0, 0, 
57, 1, 174, 1055, 10.0599475120336, 104, 211, Accidental, 1, 1, 7, 10.448118, 6.16607868448112, 60.779346, NaN, 10.06, NaN, 1, 2473, 1, 0, 0, 0, 0, 0, 
58, 1, 550, 205, 10.0599475120336, 104, 211, Accidental, 1, 1, 3, 10.448118, 16.5144864547996, 60.779346, NaN, 10.06, NaN, 1, 1627, 1, 0, 0, 0, 0, 0, 
59, 1, 600, 216, 10.0599475120336, 104, 211, Accidental, 1, 1, 14, 10.448118, 10.1057512186914, 60.779346, NaN, 10.06, NaN, 1, 3637, 1, 0, 0, 0, 0, 0, 
60, 1, 387, 616, 10.0599475120336, 104, 211, Accidental, 1, 2, 7, 10.448118, 8.13263829936338, 60.779346, 10, 10.06, 0.0700888117029178, 1, 4336, 2, 0, 0, 0, 0, 0, 
61, 1, 634, 615, 10.0599475120336, 104, 211, Accidental, 1, 4, 29, 10.448118, 11.8371797228249, 60.779346, 10, 10.06, 0.0680634221630948, 1, 17108, 4, 0, 0, 0, 0, 0, 
62, 1, 334, 507, 10.0599475120336, 104, 211, Lightning, 1, 1, 8, 10.448118, 11.6774735738455, 60.779346, NaN, 10.06, NaN, 1, 2004, 1, 0, 0, 0, 0, 0, 
63, 1, 519, 546, 13.1819331841374, 105, 223, Accidental, 1, 4, 22, 16.3053252, 16.2787876921266, 37.35441, 10, 13.18, 0.0648936179052239, 1, 5895, 4, 0, 0, 0, 0, 0, 
64, 1, 402, 489, 13.1819331841374, 105, 223, Accidental, 1, 1, 4, 16.3053252, 16.7191494139115, 37.35441, NaN, 13.18, NaN, 1, 7010, 1, 0, 0, 0, 0, 0, 
65, 1, 352, 914, 13.1819331841374, 105, 223, Accidental, 1, 1, 10, 16.3053252, 13.5059048935946, 37.35441, NaN, 13.18, NaN, 1, 1934, 1, 0, 0, 0, 0, 0, 
66, 1, 548, 298, 13.1819331841374, 105, 223, Accidental, 1, 1, 7, 16.3053252, 19.2403151402406, 37.35441, NaN, 13.18, NaN, 1, 3726, 1, 0, 0, 0, 0, 0, 
67, 1, 324, 728, 13.1819331841374, 105, 223, Accidental, 1, 1, 12, 16.3053252, 16.4842871194038, 37.35441, NaN, 13.18, NaN, 1, 682, 1, 0, 0, 0, 0, 0, 
68, 1, 627, 454, 13.7251611411564, 106, 225, Accidental, 1, 1, 10, 16.5446892, 19.9344447101218, 48.194773, NaN, 13.73, NaN, 1, 2373, 1, 0, 0, 0, 0, 0, 
69, 1, 869, 175, 13.7251611411564, 106, 225, Accidental, 1, 2, 16, 16.5446892, 15.3836150074512, 48.194773, 10, 13.73, 0.0677338140562023, 1, 6041, 2, 0, 0, 0, 0, 0, 
70, 1, 494, 854, 13.7251611411564, 106, 225, Accidental, 1, 2, 11, 16.5446892, 15.1478635277478, 48.194773, 10, 13.73, 0.0699758859901518, 1, 4363, 2, 0, 0, 0, 0, 0, 
71, 1, 242, 898, 13.7251611411564, 106, 225, Accidental, 1, 1, 7, 16.5446892, 13.9154794577989, 48.194773, NaN, 13.73, NaN, 1, 1200, 1, 0, 0, 0, 0, 0, 
72, 1, 725, 81, 13.7251611411564, 106, 225, Accidental, 1, 1, 2, 16.5446892, 14.3412722913577, 48.194773, NaN, 13.73, NaN, 1, 1453, 1, 0, 0, 0, 0, 0, 
73, 1, 285, 851, 14.4750367413173, 107, 227, Accidental, 1, 3, 19, 17.1687456, 15.6254242847644, 10.210493, 10, 14.48, 0.066692016786523, 1, 4658, 3, 0, 0, 0, 0, 0, 
74, 1, 753, 399, 14.4750367413173, 107, 227, Accidental, 1, 1, 2, 17.1687456, 15.5266969100129, 10.210493, NaN, 14.48, NaN, 1, 258, 1, 0, 0, 0, 0, 0, 
75, 1, 663, 499, 14.4750367413173, 107, 227, Accidental, 1, 1, 6, 17.1687456, 18.2373887096904, 10.210493, NaN, 14.48, NaN, 1, 837, 1, 0, 0, 0, 0, 0, 
76, 1, 557, 756, 14.4750367413173, 107, 227, Accidental, 1, 2, 8, 17.1687456, 17.3899614327124, 10.210493, 10, 14.48, 0.0667299585499151, 1, 2035, 2, 0, 0, 0, 0, 0, 
77, 1, 803, 353, 14.4750367413173, 107, 227, Accidental, 1, 1, 7, 17.1687456, 15.7731679061961, 10.210493, NaN, 14.48, NaN, 1, 1652, 1, 0, 0, 0, 0, 0, 
78, 1, 605, 209, 14.4750367413173, 107, 227, Lightning, 1, 3, 32, 17.1687456, 18.5169929688893, 10.210493, 10, 14.48, 0.0673874816256564, 1, 11192, 3, 0, 0, 0, 0, 0, 
79, 1, 345, 401, 21.5003891246893, 108, 254, Accidental, 1, 1, 8, 27.096732, 25.8453011135062, 332.365807, NaN, 21.5, NaN, 1, 2528, 1, 0, 0, 0, 0, 0, 
80, 1, 812, 535, 21.5003891246893, 108, 254, Accidental, 1, 5, 51, 27.096732, 26.0396123207428, 332.365807, 10, 21.5, 0.0642973657446972, 1, 12111, 5, 0, 0, 0, 0, 0, 
81, 1, 405, 987, 21.5003891246893, 108, 254, Accidental, 1, 1, 7, 27.096732, 28.4330129908357, 332.365807, NaN, 21.5, NaN, 1, 5681, 1, 0, 0, 0, 0, 0, 
82, 1, 608, 835, 21.5003891246893, 108, 254, Accidental, 1, 1, 6, 27.096732, 29.2096845324985, 332.365807, NaN, 21.5, NaN, 1, 2800, 1, 0, 0, 0, 0, 0, 
83, 1, 280, 1025, 21.5003891246893, 108, 254, Accidental, 1, 1, 8, 27.096732, 27.6723072831459, 332.365807, NaN, 21.5, NaN, 1, 3260, 1, 0, 0, 0, 0, 0, 
