SimulationYear,DayOfYear,AttemptedNumberIgnitions,FireWeatherIndex,IgnitionType,
1, 45, 5, 10.8610007209559, Accidental, 
1, 64, 5, 11.3992324908378, Accidental, 
1, 64, 0, 11.3992324908378, Lightning, 
1, 69, 5, 10.7245433481143, Accidental, 
1, 69, 0, 10.7245433481143, Lightning, 
1, 81, 5, 11.6346597652748, Accidental, 
1, 81, 0, 11.6346597652748, Lightning, 
1, 83, 5, 10.5575193457981, Accidental, 
1, 84, 5, 14.2725632067091, Accidental, 
1, 84, 0, 14.2725632067091, Lightning, 
1, 88, 5, 11.7692817236402, Accidental, 
1, 89, 5, 14.7603746352031, Accidental, 
1, 90, 5, 11.403987496852, Accidental, 
1, 90, 0, 11.403987496852, Lightning, 
1, 91, 5, 16.4859492876411, Accidental, 
1, 91, 0, 16.4859492876411, Lightning, 
1, 91, 1, 16.4859492876411, Rx, 
1, 92, 5, 11.3891109410619, Accidental, 
1, 92, 0, 11.3891109410619, Lightning, 
1, 93, 5, 10.3013347171367, Accidental, 
1, 93, 0, 10.3013347171367, Lightning, 
1, 94, 5, 10.1668104400906, Accidental, 
1, 94, 0, 10.1668104400906, Lightning, 
1, 95, 5, 12.6753720176531, Accidental, 
1, 96, 5, 13.434933062371, Accidental, 
1, 96, 0, 13.434933062371, Lightning, 
1, 99, 5, 12.8397616627319, Accidental, 
1, 100, 5, 13.8626879153265, Accidental, 
1, 101, 5, 10.3307233610243, Accidental, 
1, 102, 5, 14.287327629036, Accidental, 
1, 103, 5, 13.6727943993065, Accidental, 
1, 103, 0, 13.6727943993065, Lightning, 
1, 104, 6, 10.9865610199571, Accidental, 
1, 104, 0, 10.9865610199571, Lightning, 
1, 108, 6, 10.6193065237857, Accidental, 
1, 108, 0, 10.6193065237857, Lightning, 
1, 109, 6, 10.7585259889337, Accidental, 
1, 109, 0, 10.7585259889337, Lightning, 
1, 110, 5, 12.6952926642164, Accidental, 
1, 111, 5, 15.4117126315101, Accidental, 
1, 111, 0, 15.4117126315101, Lightning, 
1, 111, 1, 15.4117126315101, Rx, 
1, 112, 6, 13.2333735013339, Accidental, 
1, 112, 0, 13.2333735013339, Lightning, 
1, 113, 5, 13.1302755747517, Accidental, 
1, 114, 5, 16.0312376180489, Accidental, 
1, 114, 0, 16.0312376180489, Lightning, 
1, 114, 1, 16.0312376180489, Rx, 
1, 115, 5, 17.0423370547216, Accidental, 
1, 115, 0, 17.0423370547216, Lightning, 
1, 115, 1, 17.0423370547216, Rx, 
1, 116, 4, 19.0733769927477, Accidental, 
1, 116, 0, 19.0733769927477, Lightning, 
1, 116, 1, 19.0733769927477, Rx, 
1, 117, 5, 18.527458752105, Accidental, 
1, 117, 1, 18.527458752105, Rx, 
1, 118, 5, 14.0978017757842, Accidental, 
1, 118, 0, 14.0978017757842, Lightning, 
1, 119, 5, 15.9645422776442, Accidental, 
1, 119, 0, 15.9645422776442, Lightning, 
1, 119, 1, 15.9645422776442, Rx, 
1, 120, 5, 12.0650952562841, Accidental, 
1, 120, 0, 12.0650952562841, Lightning, 
1, 121, 5, 15.9386462059877, Accidental, 
1, 121, 0, 15.9386462059877, Lightning, 
1, 121, 1, 15.9386462059877, Rx, 
1, 122, 5, 16.8727302742902, Accidental, 
1, 122, 0, 16.8727302742902, Lightning, 
1, 122, 1, 16.8727302742902, Rx, 
1, 123, 5, 18.114103303084, Accidental, 
1, 123, 0, 18.114103303084, Lightning, 
1, 123, 1, 18.114103303084, Rx, 
1, 124, 5, 16.3789562832749, Accidental, 
1, 124, 0, 16.3789562832749, Lightning, 
1, 124, 1, 16.3789562832749, Rx, 
1, 125, 5, 11.5995240555334, Accidental, 
1, 125, 0, 11.5995240555334, Lightning, 
1, 126, 5, 10.1082000458288, Accidental, 
1, 128, 5, 10.4560130090222, Accidental, 
1, 129, 4, 16.3868485502001, Accidental, 
1, 129, 1, 16.3868485502001, Rx, 
1, 130, 6, 13.9826300777374, Accidental, 
1, 134, 6, 10.2913560171594, Accidental, 
1, 135, 5, 12.1749791135612, Accidental, 
1, 135, 0, 12.1749791135612, Lightning, 
1, 136, 5, 13.1445062814912, Accidental, 
1, 136, 0, 13.1445062814912, Lightning, 
1, 137, 5, 14.1144505167995, Accidental, 
1, 138, 5, 11.2784263799645, Accidental, 
1, 138, 0, 11.2784263799645, Lightning, 
1, 139, 6, 10.0680584850016, Accidental, 
1, 140, 5, 13.8536643460283, Accidental, 
1, 140, 0, 13.8536643460283, Lightning, 
1, 141, 5, 11.4027008634823, Accidental, 
1, 142, 5, 12.3258295661125, Accidental, 
1, 143, 4, 16.0248397561394, Accidental, 
1, 143, 0, 16.0248397561394, Lightning, 
1, 143, 1, 16.0248397561394, Rx, 
1, 144, 5, 14.2954646440283, Accidental, 
1, 144, 0, 14.2954646440283, Lightning, 
1, 145, 5, 13.532093263009, Accidental, 
1, 145, 0, 13.532093263009, Lightning, 
1, 146, 5, 13.4437458377862, Accidental, 
1, 148, 5, 13.0082066836568, Accidental, 
1, 148, 0, 13.0082066836568, Lightning, 
1, 149, 5, 13.445418645052, Accidental, 
