Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
5, AcerPens, eco1, 3700, 0.44, 1, 0.28, 0.17, 37.71, 51.23, 292.31, 
5, AcerPens, eco2, 7253, 0, 1, 0.25, 0, 59.88, 5.87, 295.4, 
5, AcerPens, eco3, 9367, 0, 1, 0.21, 0, 88.25, 5.25, 294.35, 
5, AcerPens, eco4, 8513, 0, 1, 0.28, 0, 66.39, 5.91, 294.4, 
5, AcerPens, eco5, 11117, 0, 1, 0.28, 0, 85.39, 1.69, 306.6, 
5, AcerPens, eco6, 3444, 0, 1, 0.07, 0, 109.98, 4.8, 292.36, 
5, AcerPens, eco8, 9428, 0.4, 1, 0.18, 0.09, 56.22, 53.23, 290.34, 
5, AcerPens, eco9, 4920, 0.58, 1, 0.34, 0.25, 44.69, 52.04, 291.52, 
5, AcerPens, eco10, 9560, 0, 1, 0.34, 0, 80.31, 3.92, 301.37, 
5, AcerPens, eco11, 7531, 0.18, 1, 0.14, 0.03, 69.62, 53.77, 287.41, 
5, AmelArbo, eco1, 3636, 0.76, 1, 0.66, 0.58, 36.69, 51.12, 292.35, 
5, AmelArbo, eco2, 7458, 0.96, 1, 0.6, 0.6, 58.83, 5.87, 295.35, 
5, AmelArbo, eco3, 9279, 0.97, 1, 0.46, 0.46, 87.32, 5.23, 294.4, 
5, AmelArbo, eco4, 8562, 0.97, 1, 0.58, 0.58, 65.71, 5.72, 294.4, 
5, AmelArbo, eco5, 11157, 0.99, 1, 0.49, 0.49, 84.34, 1.52, 306.66, 
5, AmelArbo, eco6, 3488, 0.94, 1, 0.32, 0.32, 111.15, 5.12, 292.41, 
5, AmelArbo, eco8, 9397, 0.77, 1, 0.55, 0.49, 55.51, 53.19, 290.33, 
5, AmelArbo, eco9, 4736, 0.72, 1, 0.64, 0.53, 43.66, 52.12, 291.5, 
5, AmelArbo, eco10, 9619, 1, 1, 0.53, 0.53, 80.49, 3.95, 301.39, 
5, AmelArbo, eco11, 7745, 0.81, 1, 0.46, 0.43, 70, 53.91, 287.41, 
5, AescBuck, eco1, 1470, 0.95, 0.89, 0.51, 0.47, 38, 53.14, 292.89, 
5, AescBuck, eco2, 2804, 0.74, 1, 0.5, 0.43, 58.01, 7.88, 295.71, 
5, AescBuck, eco3, 4490, 0.68, 1, 0.32, 0.26, 89.3, 6.99, 294.78, 
5, AescBuck, eco4, 3479, 0.67, 1, 0.47, 0.38, 66.87, 8.23, 294.83, 
5, AescBuck, eco5, 5846, 0.01, 1, 0.43, 0, 82.7, 2.58, 306.96, 
