SpeciesCode,FunctionalGroupIndex,NitrogenFixer,GDDMinimum,GDDMaximum,MinJanuaryT,MaxDrought,LeafLongevity,Epicormic,LeafLignin,FineRootLignin,WoodLignin,CoarseRootLignin,LeafCN,FineRootCN,WoodCN,CoarseRootCN,FoliageLitterCN,MaximumANPP,MaximumBiomass
PinuStro,3,FALSE,2660,3671,-3,0.226,2,N,0.263,0.225,0.3104,0.204,20.8,43,398,84,55,250,15000
AcerRubr,4,FALSE,1100,3165,-20,0.372,3,N,0.263,0.225,0.3104,0.204,40.7,43,398,84,55,300,27000
LiriTuli,5,FALSE,3000,6000,-7,0.3,1,N,0.331,0.255,0.255,0.255,25,45,90,90,45,300,25000
QuerPrin,4,FALSE,1260,6600,-18,0.23,1,N,0.183,0.334,0.125,0.312,28.2,26,565,50,55,250,31000
TsugCana,3,FALSE,1324,3800,-12,0.18,3,N,0.173,0.225,0.27,0.204,50.5,43,458,84,98.3,350,27000
PinuVirg,2,FALSE,1910,4110,-7,0.285,1,N,0.251,0.23,0.23,0.23,24,48,500,333,55,400,35000
PinuTaed,2,FALSE,3165,5993,4,0.36,3,N,0.2,0.2,0.35,0.35,26.1,53.4,716,170,100,400,15000
FrasFirr,3,FALSE,2663,2763,-7,0.025,3,N,0.252,0.252,0.312,0.204,32.4,43,545,108,74,200,10000
CaryGlab,5,FALSE,1910,6960,-7,0.2,1,N,0.187,0.24,0.2,0.251,26.741,25,294,118,43,350,10000
BetuAlle,6,FALSE,1100,2500,-18,0.2,1,N,0.219,0.27,0.2018,0.251,21,26,365,50,65,260,10000
MagnMacr,6,FALSE,2300,5993,-2,0.16,1,N,0.293,0.23,0.23,0.23,24,48,500,333,55,200,10000
PiceRube,1,FALSE,1247,2563,-12,0.309,3,N,0.249,0.258,0.4,0.234,45.8,43,600,84,55,450,23000
PinuEnch,2,FALSE,2660,5076,-1,0.385,2,N,0.255,0.2,0.35,0.35,52.08,50,346,170,100,400,21100
PinuPung,2,FALSE,1940,3100,-7,0.307,1.25,Y,0.255,0.2,0.35,0.35,50,50,380,170,100,450,10000
PinuRigi,2,FALSE,1940,3100,-7,0.307,1.25,Y,0.255,0.2,0.35,0.35,50,50,380,170,100,450,20000
AcerPens,6,FALSE,1600,4700,-18,0.8,1,N,0.175,0.334,0.125,0.312,51.1,26,512,50,55,300,11000
AcerSacc,4,FALSE,1600,4700,-18,0.8,1,N,0.175,0.334,0.125,0.312,51.1,26,512,50,55,300,27000
AescBuck,4,FALSE,600,3671,-1,0.175,1,N,0.175,0.334,0.125,0.312,28.2,26,565,50,55,500,30000
AmelArbo,5,FALSE,1200,5993,-17,0.3,1,N,0.175,0.27,0.2,0.251,18.1,25,108,49,65,380,10000
