#ppt,,,
,eco2,eco2,eco2
TIMESTEP,MEAN(mm/d),VARIANCE(mm/d^2),STD_DEV(mm/d)
1992-01-01T00:00:00Z,0.214868,0,0
1992-01-02T00:00:00Z,18.07764,0,0
1992-01-03T00:00:00Z,24.545633,0,0
1992-01-04T00:00:00Z,1.501572,0,0
1992-01-05T00:00:00Z,0.274458,0,0
1992-01-06T00:00:00Z,0,0,0
1992-01-07T00:00:00Z,0.066865,0,0
1992-01-08T00:00:00Z,1.224344,0,0
1992-01-09T00:00:00Z,0.972199,0,0
1992-01-10T00:00:00Z,0.000519,0,0
1992-01-11T00:00:00Z,0.064292,0,0
1992-01-12T00:00:00Z,2.072656,0,0
1992-01-13T00:00:00Z,8.917444,0,0
1992-01-14T00:00:00Z,1.409362,0,0
1992-01-15T00:00:00Z,0.185095,0,0
1992-01-16T00:00:00Z,0,0,0
1992-01-17T00:00:00Z,0,0,0
1992-01-18T00:00:00Z,0.095594,0,0
1992-01-19T00:00:00Z,0.032473,0,0
1992-01-20T00:00:00Z,0,0,0
1992-01-21T00:00:00Z,0.255171,0,0
1992-01-22T00:00:00Z,2.811487,0,0
1992-01-23T00:00:00Z,38.902105,0,0
1992-01-24T00:00:00Z,0.040074,0,0
1992-01-25T00:00:00Z,0,0,0
1992-01-26T00:00:00Z,0.01244,0,0
1992-01-27T00:00:00Z,0.84236,0,0
1992-01-28T00:00:00Z,1.096038,0,0
1992-01-29T00:00:00Z,0,0,0
1992-01-30T00:00:00Z,0.081651,0,0
1992-01-31T00:00:00Z,0.017342,0,0
1992-02-01T00:00:00Z,0,0,0
1992-02-02T00:00:00Z,0,0,0
1992-02-03T00:00:00Z,0,0,0
1992-02-04T00:00:00Z,0,0,0
1992-02-05T00:00:00Z,0.056892,0,0
1992-02-06T00:00:00Z,0.006979,0,0
1992-02-07T00:00:00Z,0.000679,0,0
1992-02-08T00:00:00Z,0,0,0
1992-02-09T00:00:00Z,0,0,0
1992-02-10T00:00:00Z,0,0,0
1992-02-11T00:00:00Z,0.014957,0,0
1992-02-12T00:00:00Z,0.361308,0,0
1992-02-13T00:00:00Z,4.593741,0,0
1992-02-14T00:00:00Z,5.007625,0,0
1992-02-15T00:00:00Z,27.969245,0,0
1992-02-16T00:00:00Z,2.766236,0,0
1992-02-17T00:00:00Z,5.692279,0,0
1992-02-18T00:00:00Z,2.704744,0,0
1992-02-19T00:00:00Z,0.379394,0,0
1992-02-20T00:00:00Z,0.001717,0,0
1992-02-21T00:00:00Z,0,0,0
1992-02-22T00:00:00Z,0.59797,0,0
1992-02-23T00:00:00Z,23.989663,0,0
1992-02-24T00:00:00Z,1.017151,0,0
1992-02-25T00:00:00Z,45.053619,0,0
1992-02-26T00:00:00Z,15.960605,0,0
1992-02-27T00:00:00Z,0.06167,0,0
1992-02-28T00:00:00Z,0.465018,0,0
1992-02-29T00:00:00Z,1.062301,0,0
1992-03-01T00:00:00Z,0.015058,0,0
