Time,Month,ClimateRegionName,ClimateRegionIndex,NumSites,ppt,airtemp,avgNPPtc,avgResp,avgNEE,Ndep,StreamN,
5, 7, eco2, 0, 454708, 12.5, 21.5, 27.16, 18.08, -9.08, 0.28, 0.03, 
5, 8, eco2, 0, 454708, 17.3, 21, 41.08, 21.08, -20, 0.29, 0.06, 
5, 9, eco2, 0, 454708, 16.1, 17.2, 53.08, 17.86, -35.22, 0.29, 0.05, 
5, 10, eco2, 0, 454708, 4.2, 12.6, 3.89, 12.42, 8.53, 0.27, 0, 
5, 11, eco2, 0, 454708, 14.2, 5.2, 0, 8.62, 8.62, 0.29, 0.01, 
5, 12, eco2, 0, 454708, 15.6, 4.4, 0, 8.24, 8.24, 0.29, 0.05, 
5, 1, eco2, 0, 454708, 25.1, 0.9, 0, 6.72, 6.72, 0.3, 0.07, 
5, 2, eco2, 0, 454708, 10.3, 2.7, 0, 7.51, 7.51, 0.28, 0.08, 
5, 3, eco2, 0, 454708, 16, 4.8, 0, 8.57, 8.57, 0.29, 0.09, 
5, 4, eco2, 0, 454708, 11.1, 10.7, 0.01, 12.38, 12.37, 0.28, 0.11, 
5, 5, eco2, 0, 454708, 11.9, 17.8, 48.01, 18.33, -29.69, 0.28, 0.04, 
5, 6, eco2, 0, 454708, 12.8, 20.4, 37.16, 20.96, -16.2, 0.28, 0.05, 
10, 7, eco2, 0, 454708, 17.4, 21.5, 46.1, 29.41, -16.69, 0.29, 0.08, 
10, 8, eco2, 0, 454708, 9.8, 21.9, 54.85, 21.04, -33.81, 0.28, 0.02, 
10, 9, eco2, 0, 454708, 11.1, 16.8, 88.11, 22.56, -65.55, 0.28, 0.03, 
10, 10, eco2, 0, 454708, 4.5, 11.2, 0.01, 16.02, 16.01, 0.27, 0, 
10, 11, eco2, 0, 454708, 5.5, 10.1, 0, 15.25, 15.25, 0.27, 0, 
10, 12, eco2, 0, 454708, 9.3, 5.6, 0, 11.55, 11.55, 0.28, 0, 
10, 1, eco2, 0, 454708, 11, 1.4, 0, 8.94, 8.94, 0.28, 0.02, 
10, 2, eco2, 0, 454708, 10.3, 6, 0, 11.82, 11.82, 0.28, 0.07, 
10, 3, eco2, 0, 454708, 14.3, 5.6, 0, 11.53, 11.53, 0.29, 0.07, 
10, 4, eco2, 0, 454708, 5, 13.5, 12.93, 18.93, 6.01, 0.27, 0.07, 
10, 5, eco2, 0, 454708, 10.9, 16.6, 146.24, 22.38, -123.86, 0.28, 0.04, 
10, 6, eco2, 0, 454708, 14.3, 20, 45.87, 27.1, -18.77, 0.29, 0.06, 
15, 7, eco2, 0, 454708, 9.5, 22.6, 22.26, 20.52, -1.74, 0.28, 0.01, 
15, 8, eco2, 0, 454708, 13.3, 23, 69.68, 33.11, -36.57, 0.28, 0.05, 
15, 9, eco2, 0, 454708, 16.3, 17, 87.93, 26.15, -61.78, 0.29, 0.05, 
15, 10, eco2, 0, 454708, 12.5, 11.5, 0.01, 18.78, 18.77, 0.28, 0.04, 
15, 11, eco2, 0, 454708, 12.3, 7.9, 0, 14.87, 14.87, 0.28, 0.06, 
15, 12, eco2, 0, 454708, 9.9, 5.6, 0, 12.94, 12.94, 0.28, 0.01, 
15, 1, eco2, 0, 454708, 14, 5.5, 0, 12.84, 12.84, 0.29, 0.06, 
15, 2, eco2, 0, 454708, 6.8, 2.6, 0, 10.71, 10.71, 0.27, 0.03, 
15, 3, eco2, 0, 454708, 5.9, 7.7, 0, 14.8, 14.8, 0.27, 0.06, 
15, 4, eco2, 0, 454708, 13.3, 14.3, 43.14, 22.28, -20.86, 0.28, 0.08, 
15, 5, eco2, 0, 454708, 9.2, 15.8, 163.04, 23.27, -139.76, 0.28, 0.03, 
15, 6, eco2, 0, 454708, 14, 20, 46.26, 30.33, -15.93, 0.29, 0.06, 
20, 7, eco2, 0, 454708, 11.3, 23.8, 38.34, 29.31, -9.03, 0.28, 0.04, 
20, 8, eco2, 0, 454708, 5.6, 23, 32.48, 14.47, -18.01, 0.27, 0, 
20, 9, eco2, 0, 454708, 15.5, 18.4, 55.03, 30.04, -24.99, 0.29, 0.07, 
20, 10, eco2, 0, 454708, 7.5, 11.5, 0.01, 19.43, 19.42, 0.27, 0.01, 
20, 11, eco2, 0, 454708, 17.2, 8.8, 0, 16.4, 16.4, 0.29, 0.09, 
20, 12, eco2, 0, 454708, 14.6, 6.1, 0, 13.85, 13.85, 0.29, 0.05, 
20, 1, eco2, 0, 454708, 7.2, 0, 0, 0.3, 0.3, 0.27, 0.01, 
20, 2, eco2, 0, 454708, 9.5, 5.2, 0, 13.16, 13.16, 0.28, 0.08, 
20, 3, eco2, 0, 454708, 21.4, 9, 0, 16.66, 16.66, 0.3, 0.15, 
20, 4, eco2, 0, 454708, 17.2, 14.5, 53.57, 23.62, -29.95, 0.29, 0.09, 
20, 5, eco2, 0, 454708, 8.6, 17.3, 127.31, 25.35, -101.96, 0.28, 0.02, 
20, 6, eco2, 0, 454708, 13.2, 22.2, 37.88, 34.18, -3.7, 0.28, 0.06, 
