EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,MaximumSpreadArea,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,AvailableCohorts,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanDNBR,MeanSeverity,TotalBiomassMortality,NumberCellsSeverity1,NumberCellsSeverity2,NumberCellsSeverity3,NumberCellsSeverity4,NumberCellsSeverity5,
1, 1, 967, 88, 6.59530012450762, 49, 147, Accidental, 1, 10, 40, 152, 15.1219476, 15.640616674051, 345.24673, 0, 6.6, 0.299347597869487, 93.9, 0, 14390, 10, 0, 0, 0, 0, 
2, 1, 791, 174, 12.4391732356837, 78, 219, Accidental, 1, 34, 248, 682, 13.7810655529412, 15.1010756316612, 243.807680029412, 0, 12.56, 0.310379991943874, 97.09, 0, 105803, 34, 0, 0, 0, 0, 
3, 1, 738, 132, 25.5337891856288, 113, 285, Lightning, 7, 332, 2322, 5529, 19.0247968518072, 18.9992565433774, 69.803584183735, 0, 21.28, 0.327907738365005, 150.17, 0, 1053418, 279, 38, 5, 5, 5, 
4, 1, 687, 450, 18.2662146863928, 178, 292, Accidental, 1, 33, 196, 657, 11.7881149090909, 13.3267662135, 99.4324987272728, 0, 19.09, 0.3231222089706, 89.45, 0, 112343, 33, 0, 0, 0, 0, 
5, 1, 734, 260, 22.2532564156192, 178, 402, Lightning, 2, 77, 360, 1107, 13.2602677714286, 13.3409575368025, 97.0133614285714, 0, 23.64, 0.331923435265494, 81.27, 0, 126411, 77, 0, 0, 0, 0, 
6, 1, 732, 102, 20.7473575442812, 207, 276, Accidental, 3, 102, 741, 2100, 13.2421809176471, 13.9922421643333, 94.9286078823529, 0, 18.83, 0.323089526113342, 96.49, 0, 335075, 102, 0, 0, 0, 0, 
7, 1, 786, 353, 14.355028561892, 219, 243, Accidental, 1, 10, 63, 210, 7.311492, 7.24652753729953, 238.995121, 0, 14.36, 0.314045148559019, 71.2, 0, 32644, 10, 0, 0, 0, 0, 
8, 1, 748, 156, 15.1166525683619, 360, 178, Accidental, 2, 64, 530, 1235, 19.8690375375, 21.1074922183004, 157.754947828125, 0, 12.96, 0.312056319165102, 141.09, 0, 207923, 54, 9, 0, 1, 0, 
9, 1, 1002, 46, 15.9722305277613, 362, 292, Accidental, 2, 89, 655, 1615, 22.491208516854, 22.629128410692, 96.9747352921349, 0, 17.14, 0.319139391611234, 134.3, 0, 190217, 89, 0, 0, 0, 0, 
10, 2, 697, 240, 3.48059144004582, 10, 106, Accidental, 2, 29, 418, 426, 19.8804442344828, 19.6413583356899, 228.632610896552, 0, 3.44, 0.293501515801886, 1708.28, 0, 163362, 2, 0, 0, 1, 26, 
