"","fire_names_manydays[j]","as.character(date_char)","X11_Ecoregions.1","Interpolated_FuelMap","SAPPS_aspect_inverted_atModelRes","SAPPS_Slope_ChrisArcmapprocess_modelres","X11_Ecoregions.2","X11_Ecoregions","spread_success","Area_expansion"
"1","BOTELER","2016-11-01",1,1546,151.459533691406,54.8399124145508,22.26,3.961008,0,487.251480965311
"2","BOTELER","2016-11-01",1,1643,145.394409179688,56.8600425720215,22.26,3.961008,0,487.251480965311
"3","BOTELER","2016-11-01",1,1794,137.974365234375,53.9647979736328,22.26,3.961008,0,487.251480965311
"4","BOTELER","2016-11-01",1,1437,121.114822387695,58.765323638916,22.26,3.961008,0,487.251480965311
"5","BOTELER","2016-11-01",1,1846,142.977157592773,34.3957672119141,22.26,3.961008,0,487.251480965311
"6","BOTELER","2016-11-01",1,1592,181.860961914062,38.6694030761719,22.26,3.961008,0,487.251480965311
"7","BOTELER","2016-11-01",1,1681,209.190933227539,38.3757972717285,22.26,3.961008,0,487.251480965311
"8","BOTELER","2016-11-01",1,1910,185.338714599609,33.1569938659668,22.26,3.961008,0,487.251480965311
"9","BOTELER","2016-11-01",5,1772,232.248794555664,43.3061637878418,26.34,3.727134,0,487.251480965311
"10","BOTELER","2016-11-01",1,1770,244.357223510742,47.7570877075195,22.26,3.961008,0,487.251480965311
"11","BOTELER","2016-11-01",1,1305,162.78125,39.3048706054688,22.26,3.961008,0,487.251480965311
"12","BOTELER","2016-11-01",1,1428,194.313781738281,32.4894371032715,22.26,3.961008,0,487.251480965311
"13","BOTELER","2016-11-01",5,2401,204.232833862305,23.9940719604492,26.34,3.727134,0,487.251480965311
"14","BOTELER","2016-11-01",1,1580,157.993255615234,60.0172386169434,22.26,3.961008,1,487.251480965311
"15","BOTELER","2016-11-01",1,1546,151.459533691406,54.8399124145508,22.26,3.961008,1,487.251480965311
"16","BOTELER","2016-11-01",1,1643,145.394409179688,56.8600425720215,22.26,3.961008,1,487.251480965311
"17","BOTELER","2016-11-01",1,1794,137.974365234375,53.9647979736328,22.26,3.961008,1,487.251480965311
"18","BOTELER","2016-11-01",1,1644,125.277847290039,46.1997261047363,22.26,3.961008,1,487.251480965311
"19","BOTELER","2016-11-01",1,1437,121.114822387695,58.765323638916,22.26,3.961008,1,487.251480965311
"20","BOTELER","2016-11-01",1,1706,121.022750854492,37.4328308105469,22.26,3.961008,1,487.251480965311
"21","BOTELER","2016-11-01",5,1393,123.20735168457,37.8688354492188,26.34,3.727134,1,487.251480965311
"22","BOTELER","2016-11-01",1,1846,142.977157592773,34.3957672119141,22.26,3.961008,1,487.251480965311
"23","BOTELER","2016-11-01",5,1519,118.589889526367,39.9321441650391,26.34,3.727134,1,487.251480965311
"24","BOTELER","2016-11-01",1,1388,120.879745483398,37.9867553710938,22.26,3.961008,1,487.251480965311
"25","BOTELER","2016-11-01",1,1832,139.866073608398,30.858039855957,22.26,3.961008,1,487.251480965311
"26","BOTELER","2016-11-01",5,988,245.893295288086,31.4039859771729,26.34,3.727134,1,487.251480965311
"27","BOTELER","2016-11-01",5,1121,112.690933227539,42.1164398193359,26.34,3.727134,1,487.251480965311
"28","BOTELER","2016-11-01",1,1742,112.197799682617,25.6716804504395,22.26,3.961008,1,487.251480965311
"29","BOTELER","2016-11-01",5,1519,150.384460449219,13.4995365142822,26.34,3.727134,1,487.251480965311
"30","BOTELER","2016-11-01",5,2101,198.447082519531,36.7716026306152,26.34,3.727134,1,487.251480965311
"31","BOTELER","2016-11-01",5,996,228.179138183594,19.9644241333008,26.34,3.727134,1,487.251480965311
"32","BOTELER","2016-11-01",1,1428,254.55973815918,37.2713966369629,22.26,3.961008,1,487.251480965311
"33","BOTELER","2016-11-01",1,1861,118.47932434082,46.1208686828613,22.26,3.961008,1,487.251480965311
"34","BOTELER","2016-11-01",5,2247,174.775665283203,32.3230934143066,26.34,3.727134,1,487.251480965311
"35","BOTELER","2016-11-01",5,2397,200.778060913086,32.8912200927734,26.34,3.727134,1,487.251480965311
"36","BOTELER","2016-11-01",1,1928,126.992309570312,61.1341934204102,22.26,3.961008,1,487.251480965311
"37","BOTELER","2016-11-01",5,1724,183.833312988281,37.3440475463867,26.34,3.727134,1,487.251480965311
"38","BOTELER","2016-11-01",1,1909,205.951858520508,37.1658401489258,22.26,3.961008,1,487.251480965311
"39","BOTELER","2016-11-01",1,1811,138.32080078125,46.3181304931641,22.26,3.961008,1,487.251480965311
"40","BOTELER","2016-11-01",5,1116,178.813522338867,37.6398315429688,26.34,3.727134,1,487.251480965311
"41","BOTELER","2016-11-01",5,2588,206.839767456055,40.3225898742676,26.34,3.727134,1,487.251480965311
"42","Halls Top","2016-11-03",1,1648,177.204223632812,45.724723815918,24.96,4.778561,0,350.704108033325
"43","Halls Top","2016-11-03",5,1441,195.379974365234,44.9875717163086,28.3,4.225108,0,350.704108033325
"44","Halls Top","2016-11-03",5,1750,188.669586181641,55.2649459838867,28.3,4.225108,0,350.704108033325
"45","Halls Top","2016-11-03",5,2095,173.720184326172,37.002025604248,28.3,4.225108,0,350.704108033325
"46","Halls Top","2016-11-03",5,1851,157.658660888672,36.5122680664062,28.3,4.225108,0,350.704108033325
"47","Halls Top","2016-11-03",5,1398,147.522232055664,22.5659618377686,28.3,4.225108,0,350.704108033325
"48","Halls Top","2016-11-03",5,2370,142.319030761719,20.1013336181641,28.3,4.225108,0,350.704108033325
"49","Halls Top","2016-11-03",5,1638,246.254608154297,38.4983062744141,28.3,4.225108,0,350.704108033325
"50","Halls Top","2016-11-03",1,1869,141.168121337891,17.4625377655029,24.96,4.778561,0,350.704108033325
"51","Halls Top","2016-11-03",5,2305,119.384185791016,36.1949691772461,28.3,4.225108,0,350.704108033325
"52","Halls Top","2016-11-03",5,2248,126.179046630859,29.4327850341797,28.3,4.225108,0,350.704108033325
"53","Halls Top","2016-11-03",1,1734,131.446807861328,27.2120819091797,24.96,4.778561,0,350.704108033325
