"","Time","ClimateRegionName","ClimateRegionIndex","NumSites","NEEC","SOMTC","AGB","AG_NPPC","BG_NPPC","Litterfall","AgeMortality","MineralN","TotalN","GrossMineralization","C_LiveLeaf","C_LiveFRoot","C_LiveWood","C_LiveCRoot","C_DeadWood","C_DeadCRoot","C_DeadLeaf_Struc","C_DeadLeaf_Meta","C_DeadFRoot_Struc","C_DeadFRoot_Meta","C_SOM1surf","C_SOM1soil","C_SOM2","C_SOM3","N_Leaf","N_FRoot","N_Wood","N_CRoot","N_DeadWood","N_DeadCRoot","N_DeadLeaf_Struc","N_DeadLeaf_Meta","N_DeadFRoot_Struc","N_DeadFRoot_Meta","N_SOM1surf","N_SOM1soil","N_SOM2","N_SOM3","SurfStrucNetMin","SurfMetaNetMin","SoilStrucNetMin","SoilMetaNetMin","SOM1surfNetMin","SOM1soilNetMin","SOM2NetMin","SOM3NetMin","TotalNdep","StreamC","StreamN","FireCEfflux","FireNEfflux","Nuptake","Nresorbed","TotalSoilN","Nvol","FrassC","X"
"1",0," eco1",0,1,0,2923,106,0,0,0,0,2,180.2,0,0,0,49.8,5,51.7,33.8,4.4,0.8,0,0,15,30,1750,1128,0,0,0.1,0.1,0.3,0.2,0,0.1,0,0,1.5,3,40,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.6,0,0,NA
"2",1," eco1",0,1,24.9,2854.3,173,43.9,4.4,11,1.4,1.87,182.2,3.5,10.1,1,71.2,7.1,52.8,33.9,8.1,4.2,0.4,0.4,3.3,54.1,1668.5,1128.4,0.4,0,0.1,0.1,0.3,0.2,0,0.1,0,0,0.3,6.3,39.2,133.1,0,0,0,0,1.1,1.1,-3.5,0,3.42,0,0,0,0,0.7,0.2,181.1,1.48,0,NA
"3",2," eco1",0,1,-21.1,2801.7,257,80.1,8,38.2,2.3,2.14,184,3.6,10.3,1,110.6,11.1,54,34.1,23,15.8,1.9,1.4,3.7,65.7,1603.5,1128.8,0.4,0,0.2,0.2,0.3,0.2,0.1,0.5,0,0.1,0.3,7.8,38.7,133.1,0,-0.1,0,0,0.4,1.8,-2.7,0,3.43,0.01,0.05,0,0,1.2,0.7,182.7,1.35,0,NA
"4",3," eco1",0,1,-36.2,2757.6,336,96.4,9.6,55.7,3.6,2.33,185.1,4,0.9,0.1,157.1,15.7,55.4,34.2,44.3,29,4,2.6,6.3,71.7,1550.4,1129.2,0,0,0.3,0.3,0.3,0.2,0.2,0.8,0,0.2,0.5,8.4,38.4,133.2,0,-0.2,0,0,0.5,2,-2.2,0,3.38,0,0,0,0,2,1,184,1.36,0,NA
"5",4," eco1",0,1,-9,2720.3,399,66.8,6.7,32.6,4.5,2.72,186.3,3.6,0.4,0,187.4,18.7,56.7,34.3,55.4,28.9,5.1,2.5,7.6,74.4,1508.7,1129.5,0,0,0.3,0.4,0.2,0.2,0.3,0.8,0,0.2,0.5,8.9,38.4,133.2,0,-0.2,0,0,0.6,1.7,-2.1,0,3.42,0.01,0.04,0,0,1.4,0.6,185.1,1.64,0,NA
"6",5," eco1",0,1,11.9,2678.6,452,54.3,5.4,24.5,5,3.1,187.3,4,2,0.2,210.6,21.1,56.7,34.2,62.2,24.3,6,2,7.8,75.6,1465.3,1129.9,0.1,0,0.4,0.4,0.2,0.2,0.3,0.7,0,0.1,0.5,9.2,38.7,133.3,0,-0.2,0,0,0.7,1.9,-2.3,0,3.37,0.01,0.03,0,0,1,0.4,186,2,0,NA
"7",6," eco1",0,1,-25.2,2644.4,526,81.5,8.1,40.9,5.9,3.12,188,3.6,0.2,0,247.1,24.7,57,34.2,76.1,29.6,7.4,2.5,8.9,75.7,1429.5,1130.3,0,0,0.4,0.5,0.2,0.2,0.4,0.8,0,0.2,0.5,9.3,39,133.4,0,-0.2,0,0,0.6,1.7,-1.9,0,3.39,0,0,0,0,1.7,0.7,186.7,1.93,0,NA
"8",7," eco1",0,1,22.9,2611.5,552,34.7,3.5,16.2,6.2,3.67,188.7,3.4,0.7,0.1,258.9,25.9,56.7,34,79.2,23.6,7.9,1.9,8.8,75.2,1396.9,1130.6,0,0,0.5,0.5,0.2,0.2,0.4,0.7,0,0.1,0.5,9.3,39.2,133.4,0,-0.2,0,0,0.6,1.7,-1.7,0,3.39,0,0,0,0,0.7,0.3,187.2,2.5,0,NA
"9",8," eco1",0,1,29.7,2580.5,563,23.6,2.4,12,6.4,4.05,188.9,3.2,0.1,0,264.8,26.5,56,33.7,80.6,18.9,8.3,1.4,8.4,74.3,1366.8,1130.9,0,0,0.5,0.5,0.2,0.2,0.4,0.5,0,0.1,0.4,9.2,39.4,133.5,0,-0.1,0,0,0.5,1.6,-1.6,0,3.4,0,0,0,0,0.5,0.2,187.5,2.91,0,NA
"10",9," eco1",0,1,10.6,2546.3,603,47.7,4.8,22.2,6.8,4.01,189.1,3.5,0.8,0.1,282.8,28.3,53.8,33.1,85.7,18.8,9,1.5,8.3,73.1,1333.5,1131.3,0,0,0.5,0.6,0.2,0.2,0.4,0.5,0,0.1,0.4,9,39.5,133.5,0,-0.1,0,0,0.5,1.8,-1.7,0,3.38,0,0.03,0,0,1,0.4,187.6,2.88,0,NA
