"","Time","ClimateRegionName","ClimateRegionIndex","NumSites","NEEC","SOMTC","AGB","AG_NPPC","BG_NPPC","Litterfall","AgeMortality","MineralN","TotalN","GrossMineralization","C_LiveLeaf","C_LiveFRoot","C_LiveWood","C_LiveCRoot","C_DeadWood","C_DeadCRoot","C_DeadLeaf_Struc","C_DeadLeaf_Meta","C_DeadFRoot_Struc","C_DeadFRoot_Meta","C_SOM1surf","C_SOM1soil","C_SOM2","C_SOM3","N_Leaf","N_FRoot","N_Wood","N_CRoot","N_DeadWood","N_DeadCRoot","N_DeadLeaf_Struc","N_DeadLeaf_Meta","N_DeadFRoot_Struc","N_DeadFRoot_Meta","N_SOM1surf","N_SOM1soil","N_SOM2","N_SOM3","SurfStrucNetMin","SurfMetaNetMin","SoilStrucNetMin","SoilMetaNetMin","SOM1surfNetMin","SOM1soilNetMin","SOM2NetMin","SOM3NetMin","TotalNdep","StreamC","StreamN","FireCEfflux","FireNEfflux","Nuptake","Nresorbed","TotalSoilN","Nvol","FrassC","X"
"1",0," eco1",0,1,0,2923,100,0,0,0,0,2,180.2,0,0,0,47,4.7,51.7,33.8,4.4,0.8,0,0,15,30,1750,1128,0,0,0.1,0.1,0.3,0.2,0,0.1,0,0,1.5,3,40,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.6,0,0,NA
"2",1," eco1",0,1,42.5,2861.6,133,18.7,1.9,1.8,1.2,2.19,181.9,3,3.8,0.4,58.9,5.9,52.6,33.9,4.7,1,0.1,0.1,3.5,51.7,1678,1128.3,0.2,0,0.2,0.1,0.3,0.2,0,0.1,0,0,0.3,6,39.3,133.1,0,0,0,0,1,0.9,-3,0,3.42,0.01,0.04,0,0,0.3,0.1,181,1.71,0,NA
"3",2," eco1",0,1,32.3,2801.4,172,29.1,2.9,8.9,1.6,2.33,183.6,3.2,3.6,0.4,77.6,7.8,53.3,34,8.7,3.1,0.4,0.4,1.5,64.7,1606.5,1128.8,0.2,0,0.2,0.2,0.3,0.2,0,0.1,0,0,0.1,7.8,39,133.1,0,0,0,0,0.3,1.6,-3.1,0,3.38,0,0.02,0,0,0.3,0.3,182.6,1.66,0,NA
"4",3," eco1",0,1,-6.5,2752,264,56.8,5.7,11.6,2.2,2.55,185.2,3,9.1,0.9,115.2,11.5,54,34.1,14,5.1,0.7,0.6,1.7,70.4,1550.6,1129.1,0.4,0,0.3,0.2,0.3,0.2,0.1,0.1,0,0,0.1,8.7,38.9,133.2,0,0,0,0,0.1,1.7,-2.5,0,3.35,0,0,0,0,0.6,0.4,183.7,1.81,0,NA
"5",4," eco1",0,1,-6.5,2704.9,339,58.5,5.8,19.9,3.3,2.93,186.4,3.3,6.7,0.7,152.8,15.3,54.8,34.1,23.4,8.5,1.4,1,2.7,73.2,1499.5,1129.5,0.3,0,0.4,0.3,0.3,0.2,0.1,0.2,0,0.1,0.1,9.1,39,133.3,0,-0.1,0,0,0.2,1.9,-2.4,0,3.41,0,0,0,0,0.7,0.6,184.9,1.97,0,NA
"6",5," eco1",0,1,-78.4,2666.1,518,120.5,12.1,31.4,4.9,2.84,187.6,3.1,11.5,1.1,232.3,23.2,56.3,34.2,38.5,14.6,2.4,1.8,4.2,74.3,1457.7,1129.9,0.5,0,0.6,0.5,0.3,0.2,0.2,0.4,0,0.1,0.2,9.2,39.1,133.3,0,-0.1,0,0,0.2,1.8,-2,0,3.4,0,0,0,0,1.5,1,185.5,1.85,0,NA
"7",6," eco1",0,1,-71.2,2631.9,676,113.8,11.4,32.9,6.7,3,188.8,3.1,12.7,1.3,305.4,30.5,58.4,34.3,53.8,19.1,3.5,2.3,5.7,74.6,1421.3,1130.2,0.6,0,0.8,0.6,0.3,0.2,0.3,0.5,0,0.1,0.3,9.3,39.3,133.4,0,-0.1,0,0,0.3,1.7,-1.8,0,3.41,0.01,0.06,0,0,1.3,1.1,186.2,1.95,0,NA
"8",7," eco1",0,1,-27.5,2592.6,776,86.8,8.7,31.7,8.3,3.28,189.3,3.9,7.1,0.7,357.8,35.8,59.5,34.2,67.2,19.2,4.5,2.2,7,74.3,1380.7,1130.6,0.3,0,1,0.7,0.2,0.2,0.3,0.5,0,0.1,0.4,9.2,39.5,133.4,0,-0.2,0,0,0.4,2,-2,0,3.38,0,0.05,0,0,1.2,1,186.8,2.17,0,NA
"9",8," eco1",0,1,-41.7,2555.4,912,97.9,9.8,24.6,9.5,3.55,190.2,3.8,11.9,1.2,416.8,41.7,60.4,34,76.3,17.6,5.2,1.9,7.4,73.4,1343.7,1131,0.6,0,1.1,0.8,0.2,0.2,0.4,0.5,0,0.1,0.3,9.1,39.6,133.5,0,-0.1,0,0,0.5,1.9,-1.8,0,3.43,0.01,0.06,0,0,1.1,0.8,187.2,2.44,0,NA
"10",9," eco1",0,1,-121.2,2526.9,1137,163.9,16.4,46.1,12,3.18,191,3.3,14.9,1.5,519.6,52,63.7,33.8,96.9,24.9,6.7,2.9,8.9,72.6,1314.1,1131.3,0.7,0.1,1.4,1,0.2,0.2,0.5,0.7,0,0.2,0.4,9,39.8,133.6,0,-0.1,0,0,0.4,1.6,-1.5,0,3.38,0,0,0,0,2.1,1.5,187.3,2.05,0,NA
"11",10," eco1",0,1,-95.9,2498.5,1327,148.3,14.8,44.8,14.3,3.19,191.8,3.7,14.6,1.5,609.1,60.9,67,33.5,115.5,27.8,8,3.2,10.4,71.8,1284.6,1131.7,0.7,0.1,1.7,1.2,0.2,0.3,0.6,0.8,0,0.2,0.5,8.9,39.9,133.6,0,-0.2,0,0,0.5,1.7,-1.5,0,3.4,0.02,0.06,0,0,1.9,1.4,187.6,2.05,0,NA
"12",11," eco1",0,1,-74.6,2472.6,1479,129.1,12.9,41.3,16.3,3.37,192.3,3.6,12,1.2,683.2,68.3,71,33,131.5,28.7,9.3,3.3,11.4,71,1258.2,1132,0.6,0,1.9,1.4,0.2,0.3,0.7,0.8,0,0.2,0.5,8.7,40,133.7,0,-0.2,0,0,0.6,1.7,-1.4,0,3.41,0,0.05,0,0,1.7,1.3,188,2.18,0,NA
"13",12," eco1",0,1,-136.4,2450,1725,186.2,18.6,51.2,19.1,3.18,193.2,3.7,16.6,1.7,794.4,79.4,76.6,32.6,152.2,32.6,10.8,3.7,12.9,70.3,1234.6,1132.3,0.8,0.1,2.2,1.6,0.2,0.3,0.8,0.9,0.1,0.2,0.6,8.6,40,133.7,0,-0.2,0,0,0.6,1.6,-1.3,0,3.4,0,0,0,0,2.5,1.7,188.1,1.93,0,NA
"14",13," eco1",0,1,-130.2,2429.8,1952,183.5,18.3,55,21.9,3.18,194,3.8,16.6,1.7,900.9,90.1,83.3,32.1,173.9,35.9,12.5,4.1,14.4,69.7,1213.1,1132.6,0.8,0.1,2.5,1.8,0.3,0.3,0.9,1,0.1,0.2,0.7,8.5,40,133.8,0,-0.2,0,0,0.7,1.6,-1.3,0,3.4,0,0,0,0,2.4,1.8,188.3,1.89,0,NA
"15",14," eco1",0,1,-94.7,2408.9,2132,158.7,15.9,49.8,24.2,3.32,194.5,4,14.5,1.4,987.8,98.8,89.1,31.2,191.1,34.9,13.9,3.9,15.2,68.9,1191.8,1132.9,0.7,0.1,2.7,2,0.3,0.3,1,1,0.1,0.2,0.7,8.4,40.1,133.8,0,-0.2,0,0,0.8,1.6,-1.3,0,3.42,0.01,0.08,0,0,2.1,1.6,188.5,2.1,0,NA
"16",15," eco1",0,1,-99.4,2392.7,2308,151.8,15.2,42.8,26.3,3.54,195.4,3.4,17.3,1.7,1067.9,106.8,98.3,30.8,205.4,35.1,15.1,3.9,15.9,68.3,1175.3,1133.2,0.8,0.1,2.9,2.1,0.3,0.3,1,1,0.1,0.2,0.7,8.3,40.2,133.9,0,-0.2,0,0,0.7,1.4,-1.1,0,3.44,0.02,0.04,0,0,1.8,1.4,188.8,2.25,0,NA
"17",16," eco1",0,1,-82.8,2374.5,2460,153,15.3,53.3,28.6,3.47,195.4,4.2,9.9,1,1146.4,114.6,103.7,29.7,222.5,35,16.5,3.9,16.7,67.5,1156.8,1133.6,0.5,0,3.1,2.3,0.3,0.4,1.1,1,0.1,0.2,0.7,8.1,40.2,133.9,0,-0.3,0,0,0.9,1.6,-1.2,0,3.37,0,0,0,0,2.3,1.7,188.8,2.25,0,NA
"18",17," eco1",0,1,-56.5,2355.2,2611,129.7,13,28.9,29.7,4.03,196.3,4.1,19.9,2,1207.5,120.7,108.1,28.4,225.6,26.9,17.1,2.8,16.1,66.4,1138.8,1133.9,0.9,0.1,3.3,2.4,0.3,0.4,1.1,0.8,0.1,0.2,0.6,8,40.2,134,0,-0.2,0,0,0.8,1.7,-1.2,0,3.42,0.01,0.08,0,0,1.2,0.9,188.9,2.72,0,NA
"19",18," eco1",0,1,-79.8,2339.8,2745,144,14.4,49.1,32,3.94,196.4,3.7,14.1,1.4,1276.3,127.6,115.5,27.5,240.2,29.9,18.4,3.3,16.8,65.6,1123.2,1134.2,0.7,0.1,3.5,2.6,0.3,0.4,1.2,0.8,0.1,0.2,0.6,7.9,40.2,134,0,-0.2,0,0,0.7,1.5,-1.1,0,3.41,0,0,0,0,1.8,1.6,188.9,2.64,0,NA
"20",19," eco1",0,1,-109.7,2327.6,2926,167.9,16.8,48.3,34.4,3.69,196.8,3.4,16.2,1.6,1359.5,135.9,125.4,27.1,254.6,32.6,19.7,3.6,18,64.9,1110.2,1134.5,0.8,0.1,3.7,2.7,0.4,0.4,1.3,0.9,0.1,0.2,0.6,7.8,40.2,134.1,0,-0.2,0,0,0.7,1.3,-1,0,3.41,0,0.02,0,0,2.1,1.6,188.8,2.41,0,NA
"21",20," eco1",0,1,-48.2,2314.8,3017,120.5,12.1,42.4,35.4,3.87,196.8,3.8,10,1,1408.4,140.8,131.7,26.3,264,31,20.7,3.4,18.5,64.2,1097.2,1134.8,0.5,0,3.9,2.8,0.4,0.4,1.3,0.9,0.1,0.2,0.6,7.7,40.1,134.1,0,-0.2,0,0,0.8,1.5,-1,0,3.36,0,0,0,0,1.6,1.4,188.9,2.61,0,NA
