"","Time","ClimateRegionName","ClimateRegionIndex","NumSites","NEEC","SOMTC","AGB","AG_NPPC","BG_NPPC","Litterfall","AgeMortality","MineralN","TotalN","GrossMineralization","C_LiveLeaf","C_LiveFRoot","C_LiveWood","C_LiveCRoot","C_DeadWood","C_DeadCRoot","C_DeadLeaf_Struc","C_DeadLeaf_Meta","C_DeadFRoot_Struc","C_DeadFRoot_Meta","C_SOM1surf","C_SOM1soil","C_SOM2","C_SOM3","N_Leaf","N_FRoot","N_Wood","N_CRoot","N_DeadWood","N_DeadCRoot","N_DeadLeaf_Struc","N_DeadLeaf_Meta","N_DeadFRoot_Struc","N_DeadFRoot_Meta","N_SOM1surf","N_SOM1soil","N_SOM2","N_SOM3","SurfStrucNetMin","SurfMetaNetMin","SoilStrucNetMin","SoilMetaNetMin","SOM1surfNetMin","SOM1soilNetMin","SOM2NetMin","SOM3NetMin","TotalNdep","StreamC","StreamN","FireCEfflux","FireNEfflux","Nuptake","Nresorbed","TotalSoilN","Nvol","FrassC","X"
"1",0," eco1",0,1,0,2923,100,0,0,0,0,2,180.2,0,0,0,47,9.4,51.7,33.8,4.4,0.8,0,0,15,30,1750,1128,0,0,0.1,0.1,0.3,0.2,0,0.1,0,0,1.5,3,40,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.6,0,0,NA
"2",1," eco1",0,1,50.7,2856.3,127,14.6,2.9,0.4,1.2,2.16,181.8,3.3,4,0.8,56,11.2,52.6,34,3.9,0.5,0,0,3,53.2,1671.8,1128.4,0.1,0,0.1,0.1,0.3,0.2,0,0,0,0,0.3,6.2,39.3,133.1,0,0,0,0,1,1,-3.3,0,3.37,0.01,0.04,0,0,0.2,0,181.1,1.68,0,NA
"3",2," eco1",0,1,22.5,2800.8,181,29.2,5.8,2.2,1.5,2.34,183.5,2.9,10.6,2.1,75,15,53.3,34.2,4.7,0.8,0.2,0.2,1.1,64.6,1606.4,1128.8,0.3,0,0.1,0.1,0.3,0.2,0,0,0,0,0.1,7.8,39,133.1,0,0,0,0,0.2,1.5,-2.8,0,3.41,0,0.01,0,0,0.4,0,182.4,1.73,0,NA
"4",3," eco1",0,1,39.6,2741.5,211,19.7,3.9,3.9,2,2.73,184.9,3.4,12.5,2.5,86.8,17.4,53.6,34.2,6.7,1.3,0.6,0.4,0.9,71,1540.3,1129.2,0.4,0.1,0.2,0.2,0.3,0.2,0,0,0,0,0,8.8,38.9,133.2,0,0,0,0,0.1,2,-3,0,3.4,0.01,0.03,0,0,0.2,0.1,183.7,1.94,0,NA
"5",4," eco1",0,1,51.4,2693.6,200,0.7,0.1,3.6,2.1,3.31,185.9,3,9.1,1.8,85.2,17,53.6,34.2,8.4,1.6,0.9,0.4,1.1,73.3,1489.6,1129.6,0.3,0,0.2,0.2,0.2,0.2,0,0.1,0,0,0,9.1,39,133.3,0,0,0,0,0,1.9,-2.3,0,3.38,0,0,0,0,0,0.1,184.8,2.38,0,NA
"6",5," eco1",0,1,36.4,2649.6,212,10.6,2.1,2.8,2.1,3.68,186.5,2.9,9.5,1.9,90.5,18.1,53.1,34,9.7,1.6,1.1,0.4,1.3,73.9,1444.4,1130,0.3,0,0.2,0.2,0.2,0.2,0,0.1,0,0,0,9.2,39.1,133.3,0,0,0,0,0,1.8,-2.1,0,3.38,0.01,0.04,0,0,0,0,185.4,2.75,0,NA
"7",6," eco1",0,1,34,2604.4,232,14.4,2.9,2.9,2.2,3.87,186.9,3.1,10.9,2.2,98.4,19.7,52.1,33.7,10.8,1.5,1.3,0.4,1.5,73.5,1399.1,1130.4,0.3,0.1,0.2,0.2,0.2,0.2,0.1,0,0,0,0,9.1,39.2,133.4,0,0,0,0,0,1.9,-2.1,0,3.39,0,0,0,0,0.1,0,185.8,2.99,0,NA
"8",7," eco1",0,1,26,2558.3,267,22.8,4.6,3.9,2.5,3.99,187.2,3.3,13.8,2.8,111.9,22.4,50.7,33.2,12.6,1.8,1.6,0.5,1.7,72.4,1353.5,1130.8,0.4,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0,0,0,9,39.3,133.5,0,0,0,0,0,2,-2,0,3.38,0,0,0,0,0.2,0.1,185.9,3.08,0,NA
"9",8," eco1",0,1,14.1,2512.7,321,33.5,6.7,5.3,2.9,4.03,187.5,3.4,18.6,3.7,132.5,26.5,49.1,32.6,15.1,2.2,2,0.6,1.9,70.9,1308.6,1131.2,0.6,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0,0,0,8.8,39.3,133.5,0,0,0,0,0.1,2.1,-2,0,3.37,0,0,0,0,0.4,0.1,185.9,3.13,0,NA
"10",9," eco1",0,1,31.1,2471.2,336,16.6,3.3,6.2,3.3,4.26,187.6,3.2,17.3,3.5,140.7,28.1,47.6,31.9,18.1,2.6,2.4,0.7,2.1,69.4,1268.1,1131.6,0.5,0.1,0.3,0.3,0.2,0.2,0.1,0.1,0,0,0,8.6,39.3,133.6,0,0,0,0,0.1,1.9,-1.7,0,3.47,0.01,0.09,0,0,0.2,0.1,186.1,3.24,0,NA
