"","Time","ClimateRegionName","ClimateRegionIndex","NumSites","NEEC","SOMTC","AGB","AG_NPPC","BG_NPPC","Litterfall","AgeMortality","MineralN","TotalN","GrossMineralization","C_LiveLeaf","C_LiveFRoot","C_LiveWood","C_LiveCRoot","C_DeadWood","C_DeadCRoot","C_DeadLeaf_Struc","C_DeadLeaf_Meta","C_DeadFRoot_Struc","C_DeadFRoot_Meta","C_SOM1surf","C_SOM1soil","C_SOM2","C_SOM3","N_Leaf","N_FRoot","N_Wood","N_CRoot","N_DeadWood","N_DeadCRoot","N_DeadLeaf_Struc","N_DeadLeaf_Meta","N_DeadFRoot_Struc","N_DeadFRoot_Meta","N_SOM1surf","N_SOM1soil","N_SOM2","N_SOM3","SurfStrucNetMin","SurfMetaNetMin","SoilStrucNetMin","SoilMetaNetMin","SOM1surfNetMin","SOM1soilNetMin","SOM2NetMin","SOM3NetMin","TotalNdep","StreamC","StreamN","FireCEfflux","FireNEfflux","Nuptake","Nresorbed","TotalSoilN","Nvol","FrassC","X"
"1",0," eco1",0,1,0,2923,100,0,0,0,0,2,180.3,0,0,0,47,9.4,51.7,33.8,4.4,0.8,0,0,15,30,1750,1128,0,0,0.1,0.1,0.3,0.2,0,0.1,0,0,1.5,3,40,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.6,0,0,NA
"2",1," eco1",0,1,-0.9,2865,191,51.2,10.2,4,4,1.55,182.2,2.9,20.5,4.1,69.6,13.9,54.9,34.5,5.9,1.8,0.3,0.3,4,50.9,1681.8,1128.3,1,0.1,0.2,0.2,0.3,0.2,0,0.1,0,0,0.4,5.9,39.3,133.1,0,0,0,0,0.9,0.8,-2.9,0,3.46,0.01,0.07,0,0,1.3,0.1,180.3,1.46,0,NA
"3",2," eco1",0,1,-40.8,2816.4,316,80.3,16.1,15.6,6.2,1.54,184.3,3,43.5,8.7,105.2,21,58.7,35.2,13.8,6.3,1.6,1.5,2.5,62.9,1622.4,1128.7,2.1,0.2,0.3,0.3,0.3,0.2,0.1,0.2,0,0.1,0.2,7.3,38.6,133.1,0,0,0,0,0.3,1.6,-2.2,0,3.42,0,0.03,0,0,1.8,0.5,181.1,1.26,0,NA
"4",3," eco1",0,1,-85.4,2775.2,484,117.2,23.4,28.7,9.4,1.47,186.5,3.1,71.1,14.2,156.7,31.3,63.8,36,28.5,13.4,3.9,3.1,3.6,69.8,1572.7,1129,3.4,0.3,0.4,0.4,0.3,0.2,0.1,0.5,0,0.1,0.2,7.9,38.1,133.1,0,0,0,0,0.2,1.8,-1.8,0,3.48,0.03,0.05,0,0,2.4,0.9,181.5,1.23,0,NA
"5",4," eco1",0,1,-110.1,2732.5,680,149.8,30,44,13.9,1.57,188.8,3.9,98.9,19.8,220.7,44.1,70.1,36.8,50.7,21.4,7.3,4.8,5.7,74.9,1522.5,1129.4,4.8,0.5,0.6,0.5,0.3,0.2,0.3,0.7,0,0.2,0.3,8.2,37.6,133.2,0,-0.1,0,0,0.3,2.2,-1.8,0,3.38,0,0.03,0,0,2.9,1.3,182,1.08,0,NA
"6",5," eco1",0,1,-91.7,2703.6,791,126.3,25.3,55.6,18.4,2.28,190.7,3.2,104,20.8,268,53.6,80.5,38.2,78.8,32.5,11.6,7.3,8.2,77.6,1488.2,1129.7,5,0.5,0.7,0.6,0.3,0.3,0.4,1.1,0.1,0.3,0.5,8.2,37.3,133.2,0,-0.1,0,0,0.4,1.6,-1.2,0,3.44,0.02,0.02,0,0,2.2,1.7,183.3,1.22,0,NA
"7",6," eco1",0,1,-107.1,2678.6,923,144.7,28.9,60.2,22.2,2.49,192.7,3.4,113.2,22.6,321,64.2,92.4,39.5,108.4,40.8,16.1,9,10.8,79.8,1457.9,1130.1,5.4,0.5,0.8,0.8,0.3,0.3,0.5,1.4,0.1,0.3,0.6,8.5,37.3,133.3,0,-0.1,0,-0.1,0.6,1.5,-1.5,0,3.44,0.02,0.03,0,0,2.2,1.8,184.5,1.41,0,NA
"8",7," eco1",0,1,-128.8,2655.1,1092,171.4,34.3,65.6,26.3,2.53,194.9,3.9,129.9,26,383.7,76.7,105.3,40.5,139.7,46.7,20.8,10.1,13.2,81.6,1429.9,1130.4,6.2,0.6,1,0.9,0.3,0.3,0.7,1.6,0.1,0.4,0.8,8.8,37.4,133.3,0,-0.2,0,-0.1,0.8,1.6,-1.5,0,3.41,0.02,0.05,0,0,2.5,2,185.5,1.46,0,NA
"9",8," eco1",0,1,-167.5,2632.8,1323,214.8,43,75.1,31.3,2.02,197,4.6,157.9,31.6,464.1,92.8,119.1,41.2,174.4,51.3,26.1,10.9,15.3,83.1,1403.5,1130.8,7.6,0.7,1.2,1.1,0.4,0.3,0.9,1.8,0.1,0.4,0.9,8.8,37.4,133.4,0,-0.2,0,-0.1,1,1.9,-1.5,0,3.37,0,0,0,0,3.7,2.2,185.7,1.29,0,NA
"10",9," eco1",0,1,-193.3,2613.8,1573,243.3,48.7,88.4,37.4,1.76,199.2,5.1,186.3,37.3,553.2,110.6,135.7,42.1,214.6,57.6,32.1,12.2,17.6,84.3,1380.8,1131.2,9,0.9,1.4,1.3,0.4,0.4,1.1,2,0.2,0.5,1,8.6,37.4,133.4,0,-0.3,0,-0.1,1.1,2,-1.3,0,3.41,0.01,0.02,0,0,4.1,2.6,185.9,1.19,0,NA
"11",10," eco1",0,1,-140.4,2599,1713,203.5,40.7,94.9,42.7,2.41,201.2,5.1,189,37.8,616.2,123.2,154.7,43.3,256.9,63.7,38.5,13.5,19.8,85.3,1362.4,1131.6,9.1,0.9,1.5,1.5,0.4,0.4,1.3,2.2,0.2,0.5,1.1,8.7,37.5,133.5,0,-0.3,0,-0.1,1.3,1.9,-1.4,0,3.35,0,0,0,0,2.8,2.8,187.4,1.33,0,NA
"12",11," eco1",0,1,-164.3,2590.2,1860,219.6,43.9,102.2,48.4,2.6,202.8,4.8,192.2,38.4,682,136.4,178.5,45.7,302.6,73.1,45.4,15.6,22.5,86.3,1349.5,1131.9,9.2,0.9,1.7,1.6,0.5,0.5,1.5,2.5,0.2,0.6,1.2,8.6,37.5,133.5,0,-0.3,0,-0.1,1.2,1.7,-1.1,0,3.42,0,0.02,0,0,3.6,3.1,188.4,1.3,0,NA
"13",12," eco1",0,1,-176,2584.3,2043,245,49,105.3,53.5,2.75,205,5.4,204.6,40.9,756,151.2,200.7,47.4,347,76.1,52.1,16,25.1,87.5,1339.4,1132.3,9.8,1,1.9,1.8,0.5,0.5,1.7,2.6,0.3,0.6,1.3,8.8,37.9,133.6,0,-0.3,0,-0.1,1.5,1.7,-1.4,0,3.42,0.01,0.04,0,0,3.4,3.1,189.5,1.42,0,NA
"14",13," eco1",0,1,-125.8,2581.4,2136,206.2,41.2,104.8,57.6,3.04,206.6,5.4,198.7,39.7,805.6,161.1,223.7,49.4,389.6,78.1,58.4,16.2,27.3,88.4,1333,1132.7,9.6,0.9,2,1.9,0.6,0.5,1.9,2.7,0.3,0.6,1.4,9.1,38.4,133.6,0,-0.3,0,-0.2,1.6,1.6,-1.5,0,3.46,0.02,0.08,0,0,2.7,3.1,191.1,1.68,0,NA
"15",14," eco1",0,1,-166.7,2581.9,2281,237.7,47.5,107.5,62.1,2.99,208.4,5.3,205.3,41.1,867.1,173.4,249.8,52.2,433.1,82.7,64.9,17.2,29.4,89.4,1330,1133.1,9.9,1,2.2,2.1,0.7,0.6,2.2,2.9,0.3,0.6,1.5,9.2,38.8,133.7,0,-0.3,0,-0.1,1.6,1.6,-1.3,0,3.38,0,0,0,0,3.4,3.2,192.2,1.59,0,NA
"16",15," eco1",0,1,-185.5,2585.9,2434,252,50.4,113.1,67.1,2.79,210,5.2,213.2,42.6,931,186.2,279.3,55.9,479.2,90,71.8,18.9,31.7,90.5,1330.3,1133.4,10.3,1,2.3,2.2,0.7,0.6,2.4,3.1,0.4,0.7,1.6,9.1,39.1,133.7,0,-0.3,0,-0.1,1.6,1.6,-1,0,3.39,0.01,0.04,0,0,4,3.4,192.9,1.42,0,NA
"17",16," eco1",0,1,-133.5,2593.8,2502,215.2,43,112.6,70.8,3.09,211.4,5.3,203.9,40.8,972.1,194.4,308.1,59.5,523.3,93.8,78.4,19.6,34.6,92,1333.5,1133.8,9.8,0.9,2.4,2.3,0.8,0.7,2.6,3.3,0.4,0.7,1.7,9.3,39.6,133.8,0,-0.3,0,-0.2,1.7,1.5,-1.2,0,3.42,0.02,0.03,0,0,3,3.4,194.4,1.67,0,NA
