"","Time","ClimateRegionName","ClimateRegionIndex","NumSites","NEEC","SOMTC","AGB","AG_NPPC","BG_NPPC","Litterfall","AgeMortality","MineralN","TotalN","GrossMineralization","C_LiveLeaf","C_LiveFRoot","C_LiveWood","C_LiveCRoot","C_DeadWood","C_DeadCRoot","C_DeadLeaf_Struc","C_DeadLeaf_Meta","C_DeadFRoot_Struc","C_DeadFRoot_Meta","C_SOM1surf","C_SOM1soil","C_SOM2","C_SOM3","N_Leaf","N_FRoot","N_Wood","N_CRoot","N_DeadWood","N_DeadCRoot","N_DeadLeaf_Struc","N_DeadLeaf_Meta","N_DeadFRoot_Struc","N_DeadFRoot_Meta","N_SOM1surf","N_SOM1soil","N_SOM2","N_SOM3","SurfStrucNetMin","SurfMetaNetMin","SoilStrucNetMin","SoilMetaNetMin","SOM1surfNetMin","SOM1soilNetMin","SOM2NetMin","SOM3NetMin","TotalNdep","StreamC","StreamN","FireCEfflux","FireNEfflux","Nuptake","Nresorbed","TotalSoilN","Nvol","FrassC","X"
"1",0," eco1",0,1,0,2923,106,0,0,0,0,2,180.1,0,0,0,49.8,5,51.7,33.8,4.4,0.8,0,0,15,30,1750,1128,0,0,0.1,0,0.3,0.2,0,0.1,0,0,1.5,3,40,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.6,0,0,NA
"2",1," eco1",0,1,16.7,2859.5,182,45.4,4.5,8.1,1.4,1.8,182,3.2,13.7,1.4,72.1,7.2,52.7,33.9,7.9,2.8,0.4,0.3,3.5,52.5,1675.1,1128.4,0.6,0,0.1,0,0.3,0.2,0,0.1,0,0,0.3,6.1,39.3,133.1,0,0,0,0,1,0.9,-3.2,0,3.42,0,0,0,0,0.8,0.2,180.8,1.56,0,NA
"3",2," eco1",0,1,-50.3,2802.4,316,110.2,11,44.8,2.4,2.04,184.1,3.8,21.8,2.2,127,12.7,54,34.1,29.9,14.3,2.3,1.4,3.4,65.5,1604.7,1128.8,0.9,0,0.3,0,0.3,0.2,0.1,0.5,0,0,0.3,7.6,38.7,133.1,0,-0.1,0,0,0.4,1.9,-2.7,0,3.43,0.01,0.03,0,0,1.4,1.1,182.4,1.25,0,NA
"4",3," eco1",0,1,-59.5,2761.2,397,116.4,11.6,74.3,4.2,2.21,184.7,3.9,3.4,0.3,183.3,18.3,56.1,34.3,66.2,30.1,5.4,3,6.6,71.6,1553.8,1129.2,0.1,0,0.4,0.1,0.3,0.2,0.3,1,0,0.1,0.5,8.1,38.2,133.2,0,-0.2,0,0,0.5,2,-1.8,0,3.42,0.01,0.05,0,0,2.4,1.7,183.7,1.22,0,NA
"5",4," eco1",0,1,-93.9,2726.3,547,150.5,15.1,73.8,6,2.28,185.4,4.1,1.8,0.2,255.6,25.6,58.6,34.5,100.9,39.8,8.4,3.8,9.5,74.9,1512.3,1129.5,0.1,0,0.5,0.1,0.3,0.2,0.5,1.3,0,0.1,0.7,8.2,37.9,133.2,0,-0.2,0,0,0.7,1.9,-1.4,0,3.44,0.01,0.02,0,0,1.8,1.7,184.3,1.17,0,NA
"6",5," eco1",0,1,-74,2692.9,683,137.4,13.7,66,7.6,2.46,186,4.4,1.8,0.2,319.5,31.9,60.9,34.6,130.1,42.6,10.9,4,11.6,76.7,1474.8,1129.9,0.1,0,0.6,0.1,0.2,0.2,0.7,1.4,0.1,0.1,0.8,8.3,37.7,133.3,0,-0.2,0,0,0.9,1.9,-1.5,0,3.39,0,0,0,0,3,1.5,184.7,1.3,0,NA
"7",6," eco1",0,1,-92.3,2661.3,842,159.5,16,75.4,9.3,2.46,186.5,4.6,3,0.3,393.1,39.3,63.1,34.5,162.8,46.2,13.7,4.2,13.3,77.4,1440.3,1130.3,0.1,0,0.8,0.1,0.2,0.2,0.8,1.6,0.1,0.1,0.9,8.3,37.5,133.3,0,-0.2,0,0,1,1.9,-1.5,0,3.41,0.01,0.02,0,0,1.8,1.8,185,1.26,0,NA
"8",7," eco1",0,1,-28.8,2633.6,918,93.5,9.3,47.7,10.4,2.79,187.2,3.9,0.2,0,431.4,43.1,65.8,34.5,180.8,42.3,15.2,3.8,13.8,77.4,1411.8,1130.6,0,0,0.9,0.1,0.2,0.2,0.9,1.4,0.1,0.1,0.9,8.5,37.7,133.4,0,-0.2,0,0,1,1.5,-1.6,0,3.39,0,0,0,0,2.1,1.1,185.8,1.61,0,NA
"9",8," eco1",0,1,-10.3,2607.6,972,70.8,7.1,34,11,3.09,187.9,3.5,0.2,0,457.1,45.7,68.3,34.2,191.5,36.8,16.1,3.2,13.4,76.9,1386.4,1130.9,0,0,0.9,0.1,0.2,0.2,1,1.2,0.1,0.1,0.8,8.7,38,133.4,0,-0.2,0,0,0.8,1.3,-1.6,0,3.44,0.02,0.03,0,0,1.6,0.8,186.4,1.9,0,NA
"10",9," eco1",0,1,-39,2578.5,1072,107.7,10.8,48.8,12,3.02,188.5,4.2,3.1,0.3,501.2,50.1,69,33.6,208.1,35.3,17.5,3.1,13.3,76,1357.8,1131.3,0.1,0,1,0.2,0.2,0.2,1,1.2,0.1,0.1,0.7,8.9,38.3,133.5,0,-0.2,0,-0.1,0.9,1.7,-1.8,0,3.42,0.01,0.02,0,0,2.2,1.1,186.8,1.81,0,NA
