"","Time","ClimateRegionName","ClimateRegionIndex","NumSites","NEEC","SOMTC","AGB","AG_NPPC","BG_NPPC","Litterfall","AgeMortality","MineralN","TotalN","GrossMineralization","C_LiveLeaf","C_LiveFRoot","C_LiveWood","C_LiveCRoot","C_DeadWood","C_DeadCRoot","C_DeadLeaf_Struc","C_DeadLeaf_Meta","C_DeadFRoot_Struc","C_DeadFRoot_Meta","C_SOM1surf","C_SOM1soil","C_SOM2","C_SOM3","N_Leaf","N_FRoot","N_Wood","N_CRoot","N_DeadWood","N_DeadCRoot","N_DeadLeaf_Struc","N_DeadLeaf_Meta","N_DeadFRoot_Struc","N_DeadFRoot_Meta","N_SOM1surf","N_SOM1soil","N_SOM2","N_SOM3","SurfStrucNetMin","SurfMetaNetMin","SoilStrucNetMin","SoilMetaNetMin","SOM1surfNetMin","SOM1soilNetMin","SOM2NetMin","SOM3NetMin","TotalNdep","StreamC","StreamN","FireCEfflux","FireNEfflux","Nuptake","Nresorbed","TotalSoilN","Nvol","FrassC","X"
"1",0," eco1",0,1,0,2923,100,0,0,0,0,2,180.3,0,0,0,47,4.7,51.7,33.8,4.4,0.8,0,0,15,30,1750,1128,0,0,0.2,0.1,0.3,0.2,0,0.1,0,0,1.5,3,40,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.6,0,0,NA
"2",1," eco1",0,1,64.4,2857.7,102,2.1,0.2,0,1.1,2.31,181.9,3.2,0.6,0.1,47.4,4.7,52.5,33.9,3.7,0.4,0,0,3.1,52.7,1673.5,1128.4,0,0,0.2,0.1,0.3,0.2,0,0,0,0,0.3,6.2,39.3,133.1,0,0,0,0,1,0.9,-3.2,0,3.43,0.01,0.04,0,0,0,0,181.2,1.78,0,NA
"3",2," eco1",0,1,60.4,2793.1,110,5.7,0.6,0.7,1.1,2.48,183.4,3.4,1.7,0.2,50.2,5,52.8,33.9,3.2,0.4,0,0,0.9,65.7,1597.7,1128.8,0.1,0,0.2,0.1,0.3,0.2,0,0,0,0,0.1,8,39,133.1,0,0,0,0,0.2,1.8,-3.3,0,3.43,0.01,0.04,0,0,0.1,0,182.7,1.84,0,NA
"4",3," eco1",0,1,40.8,2737.5,133,16.4,1.6,4.2,1.3,2.82,184.7,3.3,2.4,0.2,60.4,6,52.8,33.9,4.3,1.9,0.1,0.2,0.9,71.1,1536.3,1129.2,0.1,0,0.2,0.1,0.3,0.2,0,0.1,0,0,0,8.8,38.9,133.2,0,0,0,0,0.1,1.9,-2.8,0,3.36,0.01,0.03,0,0,0.2,0.1,183.9,2.04,0,NA
"5",4," eco1",0,1,51.3,2678.4,149,11.2,1.1,2.4,1.5,3.22,185.7,3.8,3.4,0.3,66.8,6.7,52.3,33.9,4.6,1.7,0.2,0.1,1,73.3,1474.4,1129.7,0.1,0,0.2,0.1,0.3,0.2,0,0.1,0,0,0,9.1,39,133.3,0,0,0,0,0.1,2.3,-2.8,0,3.38,0,0,0,0,0.1,0,184.8,2.39,0,NA
"6",5," eco1",0,1,44.5,2625.3,162,12.9,1.3,5.1,1.7,3.59,186.4,3.6,2.2,0.2,74.1,7.4,51.5,33.8,6,2.8,0.4,0.2,1.3,73.4,1420.5,1130.2,0.1,0,0.3,0.2,0.2,0.2,0,0.1,0,0,0.1,9.2,39.1,133.4,0,0,0,0,0.1,2.2,-2.4,0,3.4,0.01,0.07,0,0,0.1,0.1,185.5,2.67,0,NA
"7",6," eco1",0,1,48.2,2571.4,171,11.9,1.2,5.6,1.9,3.92,186.8,3.9,0.1,0,80.6,8.1,50.2,33.6,7.5,3.5,0.5,0.3,1.6,72.3,1366.8,1130.6,0,0,0.3,0.2,0.2,0.2,0,0.1,0,0,0.1,9.1,39.2,133.4,0,0,0,0,0.1,2.4,-2.4,0,3.37,0,0,0,0,0.2,0.1,185.9,2.91,0,NA
"8",7," eco1",0,1,41.8,2529.7,177,5.1,0.5,0.4,1.9,4.24,187,3,1.3,0.1,82.2,8.2,49,33.4,7.2,2,0.5,0.2,1.6,71,1326.1,1131,0,0,0.3,0.2,0.2,0.2,0,0.1,0,0,0.1,8.9,39.3,133.5,0,0,0,0,0.1,1.8,-1.8,0,3.44,0.02,0.05,0,0,0,0,186.1,3.21,0,NA
"9",8," eco1",0,1,27.8,2483.9,211,23.1,2.3,5.1,2.1,4.28,187.1,3.4,3.1,0.3,96.3,9.6,47.2,33.1,8.6,3.1,0.7,0.3,1.9,69.2,1281.5,1131.4,0.1,0,0.3,0.2,0.2,0.2,0,0.1,0,0,0.1,8.7,39.3,133.6,0,0,0,0,0.1,2.1,-1.9,0,3.39,0,0,0,0,0.3,0.1,186,3.32,0,NA
"10",9," eco1",0,1,6.5,2446.2,258,37.3,3.7,12.5,2.8,4.28,187.2,3,1.8,0.2,119.6,12,45.9,32.9,12.6,6.7,1,0.6,2.6,67.6,1244.3,1131.7,0.1,0,0.4,0.2,0.2,0.2,0.1,0.2,0,0,0.1,8.5,39.3,133.6,0,0,0,0,0.1,1.8,-1.5,0,3.38,0,0,0,0,0.5,0.2,186.1,3.19,0,NA
