"","Total","WRJP","SpFir","LngSl","LobSh","OthESw","OkP","OkH","OkGC","EAC","MapBB","OtHw","TropHw","ExHd","Nons","NA","NA","Age_Class"
"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"160_180"
"Total9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"140_160"
"Total8",0.0094948275862069,0,0,0,0,0,0,0.0118413793103448,0,0,0,0,0,0,0,NA,NA,"120_140"
"Total7",0.000655172413793103,0,0,0,0,0,0,0.000655172413793103,0,0,0,0,0,0,0,NA,NA,"100_120"
"Total6",0.215496551724138,0,0,0,0,0,0.0899172413793103,0.172801724137931,0,0,0.0780672413793103,0,0,0,0,NA,NA,"80_100"
"Total5",0.31648275862069,0,0,0,0,0,0.04375,0.426808620689655,0,0,0.0193120689655172,0.0851551724137931,0,0,0,NA,NA,"60_80"
"Total4",0.288825862068965,0.85445,0,0,0.0465948275862069,0,0.0550344827586207,0.327039655172414,0,0,0.193729310344828,0,0,0,0,NA,NA,"40_60"
"Total3",0.442374137931034,0.040448275862069,0,0,1.26449655172414,0.133737931034483,0.0968689655172414,0.759172413793103,0,0,0,0,0,0,0,NA,NA,"20_40"
"Total2",3.75670172413793,0,0,0,0.380512068965517,0,0.439986206896552,4.06406724137931,0,0,0,0,0,0,0.662286206896552,NA,NA,"0_20"
"Total1",0.511065517241379,0.123974137931034,0,0,0.331044827586207,0.133737931034483,0.281498275862069,0.521713793103448,0,0,0.254586206896552,0.0851551724137931,0,0,0.662286206896552,NA,NA,"Sum"
