Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,surf_CN,soil_CN,SOM2,SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco2,0,1,0,2604,100,0,0,0,0,2,217.9,0,0,0,47,4.7,235.3,549.1,64,11.3,0,0,26,52.1,1536.4,989.5,0,0,0.1,0,1.2,2.7,0.3,1.1,0,0,1,5.2,87.8,116.4,26,10.01923077,17.49886105,8.500859107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.9,0,0, 
5, eco2,0,1,32,2398.5,157,17.8,1.8,7.4,1.6,6.25,213.4,4,4.5,0.4,69.8,7,236.1,549.2,43.4,4.8,0.9,0.4,3.7,58.8,1345.2,990.7,0.2,0,0.1,0,1.2,2.7,0.2,0.2,0,0,0.1,7.3,78.4,116.6,37,8.054794521,17.15816327,8.496569468,0,0,0,0,0.1,1.7,0.1,0,16.75,0.2,0.26,0,0,0.2,0.2,209.1,4.9,0, 
10, eco2,0,1,3.1,2245.4,312,35.1,3.5,11.1,3.1,5.71,205.8,3.2,7.3,0.7,139.5,14,229.5,548.4,62.5,12.8,3.8,1.2,6,54.1,1193.5,991.7,0.3,0,0.3,0,1.1,2.7,0.3,0.4,0,0,0.3,6.7,71.1,116.8,20,8.074626866,16.7862166,8.490582192,0,-0.1,0,0,0.2,1.3,0.1,0,16.96,0.12,0.21,0,0,0.4,0.3,201.4,4.37,0, 
15, eco2,0,1,-2.4,2142.8,666,45.4,4.5,39.6,7.3,5.17,201,3.1,5.3,0.5,307.9,30.8,217.5,546.4,137.5,36.5,10.7,3.5,13.1,51,1086.1,992.6,0.2,0,0.6,0.1,1,2.7,0.7,1.2,0.1,0.1,0.7,6.3,65.2,116.9,18.71428571,8.095238095,16.65797546,8.491017964,0,-0.1,0,0,0.5,1,0.1,0,16.9,0.04,0.16,0,0,0.8,0.9,196.4,3.87,0, 
20, eco2,0,1,-0.2,2076.7,1102,55,5.5,48.1,11.9,5.39,197.8,3.5,14,1.4,504,50.4,197,541.3,219.5,43.9,17.9,4,18.4,49.5,1015.4,993.4,0.6,0,1,0.2,0.8,2.7,1.1,1.5,0.1,0.1,0.9,5.9,60.5,117.1,20.44444444,8.389830508,16.78347107,8.483347566,0,-0.2,0,-0.1,0.8,1,0.1,0,16.91,0.04,0.09,0,0,0.6,1.1,192.5,3.98,0, 
25, eco2,0,1,-54.9,2035.8,1612,111.6,11.2,60,16.9,5.23,195.1,3.5,31.7,3.2,726.1,72.6,171.9,529.3,306,46.4,25.2,4.2,21.4,49.5,970.8,994.2,1.3,0.1,1.5,0.2,0.6,2.6,1.5,1.6,0.1,0.1,0.9,5.7,56.5,117.2,23.77777778,8.684210526,17.18230088,8.482935154,0,-0.2,0,-0.1,0.8,0.9,0.1,0,16.94,0.1,0.17,0,0,1,1.4,188.8,3.82,0, 
30, eco2,0,1,-31.5,2026.2,2145,106.5,10.7,47.5,23.6,4.68,192.5,4.1,17.5,1.7,990.8,99.1,158.1,506.9,425,57.5,35.1,5.1,25.9,51.9,953.4,995,0.7,0,2,0.3,0.4,2.5,2.1,1.9,0.2,0.2,1.2,5.6,53.3,117.3,21.58333333,9.267857143,17.88742964,8.482523444,0,-0.3,0,-0.1,1.2,0.9,0,0,17.01,0.15,0.17,0,0,1.6,1.1,186.6,3.29,0, 
35, eco2,0,1,-35.7,2034.4,2576,98.9,9.9,40.3,28.2,5.06,191.6,3.1,28.1,2.8,1182.8,118.3,169.7,475.9,499,49.2,41,4.3,25.9,54.6,958.1,995.8,1.2,0.1,2.4,0.4,0.4,2.3,2.5,1.7,0.2,0.1,1,5.6,51.3,117.5,25.9,9.75,18.67641326,8.474893617,0,-0.2,0,-0.1,0.9,0.7,-0.1,0,16.89,0.07,0.14,0,0,0.9,0.9,185,3.85,0, 
40, eco2,0,1,-16.3,2055,2824,98.6,9.9,41.6,31.7,4.33,189.3,3.6,13.8,1.4,1313.8,131.4,179.2,431.4,554.3,47.4,45.1,4.2,27.2,57.9,973.3,996.7,0.6,0,2.6,0.4,0.4,2.1,2.8,1.6,0.2,0.1,1,5.6,49.9,117.6,27.2,10.33928571,19.50501002,8.475340136,0,-0.2,0,-0.1,1.1,0.8,-0.2,0,17.03,0.19,0.21,0,0,1.6,1,183.2,3.01,0, 
45, eco2,0,1,-18,2082.9,3135,108.5,10.8,48.7,34.8,4.43,189.6,3.7,24.9,2.5,1448.8,144.9,190.6,376.1,597.4,49.5,48.3,4.4,28.5,61,995.7,997.5,1,0.1,2.9,0.4,0.4,1.8,3,1.7,0.2,0.2,1,5.7,49,117.8,28.5,10.70175439,20.32040816,8.467741935,0,-0.2,0,-0.1,1.1,0.8,-0.3,0,16.85,0.11,0.11,0,0,1.3,1.1,183,3.17,0, 
