"","FRI","mean","ID","Model","rep"
"1",1,42.9334780838648,"Yellowpines","HadGEM",1
"2",2,74.4440030801592,"Yellowpines","HadGEM",1
"3",3,88.6939662477907,"Yellowpines","HadGEM",1
"4",4,NA,"Yellowpines","HadGEM",1
"5",5,88.6448108034,"Yellowpines","HadGEM",1
"6",1,2848.00370470892,"Whiteoaks","HadGEM",1
"7",2,3583.21794944031,"Whiteoaks","HadGEM",1
"8",3,3985.40375535701,"Whiteoaks","HadGEM",1
"9",4,NA,"Whiteoaks","HadGEM",1
"10",5,4121.48657286811,"Whiteoaks","HadGEM",1
"11",1,575.936748541186,"XeriredOaks","HadGEM",1
"12",2,799.040164149951,"XeriredOaks","HadGEM",1
"13",3,928.230466574659,"XeriredOaks","HadGEM",1
"14",4,NA,"XeriredOaks","HadGEM",1
"15",5,1005.4699667535,"XeriredOaks","HadGEM",1
"16",1,28.9896593839056,"XeriHwd","HadGEM",1
"17",2,32.0164149951168,"XeriHwd","HadGEM",1
"18",3,34.5541996561827,"XeriHwd","HadGEM",1
"19",4,NA,"XeriHwd","HadGEM",1
"20",5,37.5746589662736,"XeriHwd","HadGEM",1
"21",1,403.556167729678,"WhitePine","HadGEM",1
"22",2,449.972344301705,"WhitePine","HadGEM",1
"23",3,544.168918428125,"WhitePine","HadGEM",1
"24",4,NA,"WhitePine","HadGEM",1
"25",5,698.765552166164,"WhitePine","HadGEM",1
"26",1,563.588220925499,"Maples","HadGEM",1
"27",2,1150.61883029074,"Maples","HadGEM",1
"28",3,1631.66261107479,"Maples","HadGEM",1
"29",4,NA,"Maples","HadGEM",1
"30",5,1999.13282321086,"Maples","HadGEM",1
"31",1,1782.4478762383,"MesicHard","HadGEM",1
"32",2,2657.18519457591,"MesicHard","HadGEM",1
"33",3,3183.41663640106,"MesicHard","HadGEM",1
"34",4,NA,"MesicHard","HadGEM",1
"35",5,3446.53517445846,"MesicHard","HadGEM",1
"36",1,0.0971366535486497,"Hemlock","HadGEM",1
"37",2,0.36075426339118,"Hemlock","HadGEM",1
"38",3,0.613556572480085,"Hemlock","HadGEM",1
"39",4,NA,"Hemlock","HadGEM",1
"40",5,0.693609473539896,"Hemlock","HadGEM",1
"41",1,49.5205938697318,"Yellowpines","CNRM-CM5",1
"42",2,58.4573736855604,"Yellowpines","CNRM-CM5",1
"43",3,73.6668718528311,"Yellowpines","CNRM-CM5",1
"44",4,NA,"Yellowpines","CNRM-CM5",1
"45",5,91.1103844819876,"Yellowpines","CNRM-CM5",1
"46",1,4507.16810344828,"Whiteoaks","CNRM-CM5",1
"47",2,5463.75473198256,"Whiteoaks","CNRM-CM5",1
"48",3,5753.60051262904,"Whiteoaks","CNRM-CM5",1
"49",4,NA,"Whiteoaks","CNRM-CM5",1
"50",5,5855.53408772758,"Whiteoaks","CNRM-CM5",1
"51",1,1134.61302681992,"XeriredOaks","CNRM-CM5",1
"52",2,1508.3908181585,"XeriredOaks","CNRM-CM5",1
"53",3,1579.3591228796,"XeriredOaks","CNRM-CM5",1
"54",4,NA,"XeriredOaks","CNRM-CM5",1
"55",5,1556.78980732024,"XeriredOaks","CNRM-CM5",1
"56",1,37.6374521072797,"XeriHwd","CNRM-CM5",1
"57",2,40.6549628109772,"XeriHwd","CNRM-CM5",1
"58",3,42.3580229472133,"XeriHwd","CNRM-CM5",1
"59",4,NA,"XeriHwd","CNRM-CM5",1
"60",5,43.3180323347638,"XeriHwd","CNRM-CM5",1
"61",1,542.35775862069,"WhitePine","CNRM-CM5",1
"62",2,580.519235701462,"WhitePine","CNRM-CM5",1
"63",3,613.836735723584,"WhitePine","CNRM-CM5",1
"64",4,NA,"WhitePine","CNRM-CM5",1
"65",5,699.375384962538,"WhitePine","CNRM-CM5",1
"66",1,667.099616858238,"Maples","CNRM-CM5",1
"67",2,1100.03221338805,"Maples","CNRM-CM5",1
"68",3,1320.37019284136,"Maples","CNRM-CM5",1
"69",4,NA,"Maples","CNRM-CM5",1
"70",5,1507.795494528,"Maples","CNRM-CM5",1
"71",1,2624.31130268199,"MesicHard","CNRM-CM5",1
"72",2,3566.11118235445,"MesicHard","CNRM-CM5",1
"73",3,3976.96399487371,"MesicHard","CNRM-CM5",1
"74",4,NA,"MesicHard","CNRM-CM5",1
"75",5,4288.19437212976,"MesicHard","CNRM-CM5",1
"76",1,0,"Hemlock","CNRM-CM5",1
"77",2,0.929443447037702,"Hemlock","CNRM-CM5",1
"78",3,1.10005348295105,"Hemlock","CNRM-CM5",1
"79",4,NA,"Hemlock","CNRM-CM5",1
"80",5,1.59347120250388,"Hemlock","CNRM-CM5",1
"81",1,43.4888257331094,"Yellowpines","IPSL-CM5A-MR",1
"82",2,62.4787102818331,"Yellowpines","IPSL-CM5A-MR",1
"83",3,76.0853137722487,"Yellowpines","IPSL-CM5A-MR",1
"84",4,NA,"Yellowpines","IPSL-CM5A-MR",1
"85",5,98.4742288930201,"Yellowpines","IPSL-CM5A-MR",1
"86",1,3588.03061619946,"Whiteoaks","IPSL-CM5A-MR",1
"87",2,4443.45186977906,"Whiteoaks","IPSL-CM5A-MR",1
"88",3,4929.74666098452,"Whiteoaks","IPSL-CM5A-MR",1
"89",4,NA,"Whiteoaks","IPSL-CM5A-MR",1
"90",5,5227.25540116812,"Whiteoaks","IPSL-CM5A-MR",1
"91",1,756.058777935667,"XeriredOaks","IPSL-CM5A-MR",1
"92",2,1024.90872043095,"XeriredOaks","IPSL-CM5A-MR",1
"93",3,1163.75765956096,"XeriredOaks","IPSL-CM5A-MR",1
"94",4,NA,"XeriredOaks","IPSL-CM5A-MR",1
