"","FRI","mean","ID","Model","rep"
"1",1,68.402489626556,"Yellowpines","MRI-CGCM3",1
"2",2,104.056163669534,"Yellowpines","MRI-CGCM3",1
"3",3,136.393585806892,"Yellowpines","MRI-CGCM3",1
"4",4,NA,"Yellowpines","MRI-CGCM3",1
"5",5,167.659834147684,"Yellowpines","MRI-CGCM3",1
"6",1,3758.82157676349,"Whiteoaks","MRI-CGCM3",1
"7",2,3542.68477977587,"Whiteoaks","MRI-CGCM3",1
"8",3,3367.65378369157,"Whiteoaks","MRI-CGCM3",1
"9",4,NA,"Whiteoaks","MRI-CGCM3",1
"10",5,3088.20956575597,"Whiteoaks","MRI-CGCM3",1
"11",1,1452.92116182573,"XeriredOaks","MRI-CGCM3",1
"12",2,1098.33502736513,"XeriredOaks","MRI-CGCM3",1
"13",3,1035.91855339475,"XeriredOaks","MRI-CGCM3",1
"14",4,NA,"XeriredOaks","MRI-CGCM3",1
"15",5,919.942990847155,"XeriredOaks","MRI-CGCM3",1
"16",1,580.46887966805,"XeriHwd","MRI-CGCM3",1
"17",2,568.797041959864,"XeriHwd","MRI-CGCM3",1
"18",3,568.141467076083,"XeriHwd","MRI-CGCM3",1
"19",4,NA,"XeriHwd","MRI-CGCM3",1
"20",5,540.404896428326,"XeriHwd","MRI-CGCM3",1
"21",1,775.825726141079,"WhitePine","MRI-CGCM3",1
"22",2,617.768047954131,"WhitePine","MRI-CGCM3",1
"23",3,553.263882633913,"WhitePine","MRI-CGCM3",1
"24",4,NA,"WhitePine","MRI-CGCM3",1
"25",5,487.503953616407,"WhitePine","MRI-CGCM3",1
"26",1,1410.77178423237,"Maples","MRI-CGCM3",1
"27",2,1442.97485014334,"Maples","MRI-CGCM3",1
"28",3,1411.11707949505,"Maples","MRI-CGCM3",1
"29",4,NA,"Maples","MRI-CGCM3",1
"30",5,1342.00178239626,"Maples","MRI-CGCM3",1
"31",1,2994.26141078838,"MesicHard","MRI-CGCM3",1
"32",2,3237.47348188689,"MesicHard","MRI-CGCM3",1
"33",3,3293.56562265438,"MesicHard","MRI-CGCM3",1
"34",4,NA,"MesicHard","MRI-CGCM3",1
"35",5,3139.41513316358,"MesicHard","MRI-CGCM3",1
"36",1,198.564315352697,"Hemlock","MRI-CGCM3",1
"37",2,220.686995048215,"Hemlock","MRI-CGCM3",1
"38",3,197.641896963494,"Hemlock","MRI-CGCM3",1
"39",4,NA,"Hemlock","MRI-CGCM3",1
"40",5,176.926515725002,"Hemlock","MRI-CGCM3",1
